Scenario - 
Logfile written - 11/26/2015 15:41:47

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	2	Picture	+	50331	0	1	17333	2	0	17170	other	0
1	3	Picture	pos_3.jpg	68769	0	229	40060	231	0	40000	other	0
1	4	Picture	+	108996	0	1	15166	2	0	15060	other	0
1	5	Picture	pos_20.jpg	125162	0	1	40166	2	0	40000	other	0
1	6	Picture	+	165494	0	1	19833	2	0	19720	other	0
1	7	Picture	pos_4.jpg	186160	0	1	40166	2	0	40000	other	0
1	8	Picture	+	226492	0	2	18500	3	0	18460	other	0
1	9	Picture	neu_4.jpg	245992	0	1	40165	2	0	40000	other	0
1	10	Picture	+	286324	0	1	19833	2	0	19740	other	0
1	11	Picture	neu_15.jpg	307157	0	1	40165	2	0	40000	other	0
1	12	Picture	+	347489	0	1	19332	3	0	19310	other	0
1	13	Picture	neg_26.jpg	368488	0	1	40165	3	0	40000	other	0
1	14	Picture	+	408820	0	1	19333	2	0	19320	other	0
1	15	Picture	neu_5.jpg	429153	0	1	40165	2	0	40000	other	0
1	16	Picture	+	469485	0	1	18333	2	0	18300	other	0
1	17	Picture	pos_27.jpg	488818	0	1	40165	2	0	40000	other	0
1	18	Picture	+	529150	0	1	16999	2	0	16900	other	0
1	19	Picture	neg_25.jpg	547149	0	1	40166	2	0	40000	other	0
1	20	Picture	+	587481	0	1	20000	2	0	19850	other	0
1	21	Picture	neu_6.jpg	608481	0	1	40165	2	0	40000	other	0
1	22	Picture	+	648813	0	1	18666	2	0	18520	other	0
1	23	Picture	pos_12.jpg	668479	0	1	40165	2	0	40000	other	0
1	24	Picture	+	708811	0	1	19666	2	0	19540	other	0
1	25	Picture	neg_10.jpg	729477	0	1	40165	3	0	40000	other	0
1	26	Picture	+	769809	0	1	15833	2	0	15780	other	0
1	27	Picture	neu_16.jpg	786642	0	1	40165	2	0	40000	other	0
1	28	Picture	+	826974	0	1	17499	3	0	17450	other	0
1	29	Picture	neg_24.jpg	845473	0	2	40166	3	0	40000	other	0
1	30	Picture	+	885806	0	1	15999	2	0	15920	other	0
1	31	Picture	pos_15.jpg	902805	0	1	40165	3	0	40000	other	0
1	32	Picture	+	943137	0	1	16333	2	0	16280	other	0
1	33	Picture	pos_23.jpg	960470	0	1	40165	2	0	40000	other	0
1	34	Picture	+	1000802	0	1	15333	2	0	15200	other	0
1	35	Picture	neu_1.jpg	1017135	0	1	40165	2	0	40000	other	0
1	36	Picture	+	1057467	0	1	19666	2	0	19570	other	0
1	37	Picture	pos_6.jpg	1078133	0	1	40165	3	0	40000	other	0
1	38	Picture	+	1118465	0	1	19166	2	0	19050	other	0
1	39	Picture	neu_13.jpg	1138631	0	1	40166	2	0	40000	other	0
1	40	Picture	+	1178963	0	1	15666	3	0	15610	other	0
1	41	Picture	neg_22.jpg	1195452	0	179	40176	180	0	40000	other	0
1	42	Picture	+	1235795	0	1	15666	2	0	15500	other	0
1	43	Picture	pos_5.jpg	1252461	0	1	40165	3	0	40000	other	0
