Scenario - 
Logfile written - 12/15/2015 11:35:17

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

H01_post	4	Picture	+	1250962	0	1	19666	2	0	19530	other	0
H01_post	5	Picture	neu_3a.jpg	1271765	0	197	40028	198	0	40000	other	0
H01_post	6	Picture	+	1311960	0	1	16333	2	0	16190	other	0
H01_post	7	Picture	neg_30a.jpg	1329293	0	1	40165	2	0	40000	other	0
H01_post	8	Picture	+	1369625	0	1	15333	2	0	15170	other	0
H01_post	9	Picture	neu_6a.jpg	1385958	0	1	40165	2	0	40000	other	0
H01_post	10	Picture	+	1426290	0	1	15999	2	0	15970	other	0
H01_post	11	Picture	neu_16a.jpg	1443289	0	1	40166	2	0	40000	other	0
H01_post	12	Picture	+	1483621	0	2	17167	3	0	17050	other	0
H01_post	13	Picture	neg_17a.jpg	1501787	0	2	40166	3	0	40000	other	0
H01_post	14	Picture	+	1542120	0	1	19999	2	0	19890	other	0
H01_post	15	Picture	neg_26a.jpg	1563119	0	1	40165	3	0	40000	other	0
H01_post	16	Picture	+	1603451	0	1	19499	3	0	19370	other	0
H01_post	17	Picture	pos_29a.jpg	1623950	0	2	40166	3	0	40000	other	0
H01_post	18	Picture	+	1664283	0	1	15999	2	0	15910	other	0
H01_post	19	Picture	neu_4a.jpg	1681115	0	2	40166	3	0	40000	other	0
H01_post	20	Picture	+	1721447	0	2	16167	3	0	16100	other	0
H01_post	21	Picture	neu_28a.jpg	1738614	0	1	40165	2	0	40000	other	0
H01_post	22	Picture	+	1778946	0	1	16333	2	0	16230	other	0
H01_post	23	Picture	neu_15a.jpg	1796279	0	1	40165	2	0	40000	other	0
H01_post	24	Picture	+	1836611	0	1	17166	2	0	17090	other	0
H01_post	25	Picture	pos_17a.jpg	1854777	0	1	40165	2	0	40000	other	0
H01_post	26	Picture	+	1895109	0	1	15666	2	0	15500	other	0
H01_post	27	Picture	neg_24a.jpg	1911775	0	1	40166	2	0	40000	other	0
H01_post	28	Picture	+	1952107	0	1	17500	2	0	17400	other	0
