Scenario - 
Logfile written - 12/16/2015 14:42:28

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

H02_pre	4	Picture	+	1250964	0	1	17000	2	0	16960	other	0
H02_pre	6	Picture	+	1309296	0	1	16666	2	0	16550	other	0
H02_pre	8	Picture	+	1367294	0	1	20000	2	0	19860	other	0
H02_pre	10	Picture	+	1428626	0	1	16499	2	0	16390	other	0
H02_pre	12	Picture	+	1486457	0	2	17500	3	0	17410	other	0
H02_pre	14	Picture	+	1545289	0	1	17333	2	0	17230	other	0
H02_pre	16	Picture	+	1603954	0	1	15666	3	0	15560	other	0
H02_pre	18	Picture	+	1660953	0	1	16832	3	0	16790	other	0
H02_pre	20	Picture	+	1719118	0	1	15333	2	0	15170	other	0
H02_pre	22	Picture	+	1775783	0	1	18832	3	0	18740	other	0
H02_pre	24	Picture	+	1835948	0	1	15333	2	0	15190	other	0
H02_pre	26	Picture	+	1892613	0	1	17499	2	0	17460	other	0
H02_pre	28	Picture	+	1951444	0	2	18333	3	0	18190	other	0
H02_pre	30	Picture	+	2011109	0	2	18667	3	0	18630	other	0
H02_pre	32	Picture	+	2071108	0	1	15499	2	0	15470	other	0
H02_pre	34	Picture	+	2127939	0	2	17333	3	0	17280	other	0
H02_pre	36	Picture	+	2186604	0	2	19500	3	0	19450	other	0
H02_pre	38	Picture	+	2247936	0	1	19500	2	0	19470	other	0
H02_pre	40	Picture	+	2308768	0	1	17833	2	0	17670	other	0
H02_pre	42	Picture	+	2367933	0	1	15499	2	0	15430	other	0
H02_pre	44	Picture	+	2424764	0	2	17667	3	0	17500	other	0
H02_pre	46	Picture	+	2483596	0	1	17833	2	0	17720	other	0
H02_pre	48	Picture	+	2542761	0	1	19333	2	0	19160	other	0
H02_pre	50	Picture	+	2603093	0	1	15999	2	0	15930	other	0
H02_pre	52	Picture	+	2660424	0	2	16333	4	0	16180	other	0
H02_pre	54	Picture	+	2718090	0	1	15999	2	0	15950	other	0
H02_pre	56	Picture	+	2776088	0	1	16666	2	0	16590	other	0
H02_pre	58	Picture	+	2834086	0	1	15833	2	0	15700	other	0
H02_pre	60	Picture	+	2891751	0	1	18333	2	0	18180	other	0
H02_pre	62	Picture	+	2951416	0	2	19333	3	0	19230	other	0
H02_pre	64	Picture	+	3011748	0	1	15833	2	0	15720	other	0
H02_pre	66	Picture	+	3068913	0	1	16000	2	0	15940	other	0
H02_pre	68	Picture	+	3126245	0	1	15999	2	0	15830	other	0
H02_pre	70	Picture	+	3183243	0	1	15166	3	0	15050	other	0
H02_pre	72	Picture	+	3239575	0	1	17666	2	0	17630	other	0
H02_pre	74	Picture	+	3298573	0	1	18500	2	0	18460	other	0
H02_pre	76	Picture	+	3358405	0	1	17999	3	0	17960	other	0
H02_pre	78	Picture	+	3417737	0	1	19999	2	0	19850	other	0
H02_pre	80	Picture	+	3479068	0	1	15500	2	0	15330	other	0
H02_pre	82	Picture	+	3535900	0	1	17999	3	0	17900	other	0
H02_pre	84	Picture	+	3595065	0	1	15666	2	0	15600	other	0
H02_pre	86	Picture	+	3652063	0	2	20000	3	0	19980	other	0
H02_pre	88	Picture	+	3713228	0	1	16000	2	0	15980	other	0
H02_pre	90	Picture	+	3770227	0	1	19999	2	0	19950	other	0
H02_pre	92	Picture	+	3831392	0	1	15999	2	0	15910	other	0
H02_pre	94	Picture	+	3888557	0	1	18499	2	0	18460	other	0
H02_pre	96	Picture	+	3948388	0	2	17000	3	0	16840	other	0
H02_pre	98	Picture	+	4006720	0	1	19666	2	0	19600	other	0
H02_pre	100	Picture	+	4067385	0	1	20000	2	0	19960	other	0
H02_pre	102	Picture	+	4128717	0	1	17166	2	0	16990	other	0
H02_pre	104	Picture	+	4187215	0	1	18333	2	0	18320	other	0
H02_pre	106	Picture	+	4246880	0	1	15166	3	0	15080	other	0
H02_pre	108	Picture	+	4303379	0	1	18999	2	0	18890	other	0
H02_pre	110	Picture	+	4363710	0	1	17333	2	0	17280	other	0
H02_pre	112	Picture	+	4422375	0	1	15500	2	0	15330	other	0
H02_pre	114	Picture	+	4479207	0	1	19666	2	0	19530	other	0
H02_pre	116	Picture	+	4540205	0	1	15500	2	0	15480	other	0
H02_pre	118	Picture	+	4597037	0	1	16000	2	0	15850	other	0
H02_pre	120	Picture	+	4654369	0	1	16666	2	0	16540	other	0
H02_pre	122	Picture	+	4712367	0	1	15333	2	0	15310	other	0
H02_pre	124	Picture	+	4769032	0	1	19666	2	0	19490	other	0
H02_pre	126	Picture	+	4830031	0	1	18666	2	0	18570	other	0
H02_pre	128	Picture	+	4890029	0	1	15666	2	0	15560	other	0
H02_pre	130	Picture	+	4947027	0	1	17166	3	0	17070	other	0
H02_pre	132	Picture	+	5005526	0	1	15166	2	0	15130	other	0
H02_pre	134	Picture	+	5062024	0	1	16500	2	0	16470	other	0
H02_pre	136	Picture	+	5119522	0	2	17333	3	0	17260	other	0
H02_pre	138	Picture	+	5178187	0	2	16333	3	0	16250	other	0
H02_pre	140	Picture	+	5235852	0	2	16167	3	0	16020	other	0
H02_pre	142	Picture	+	5293351	0	1	16499	3	0	16330	other	0
H02_pre	144	Picture	+	5351183	0	1	17832	3	0	17670	other	0
H02_pre	146	Picture	+	5410348	0	1	19332	3	0	19200	other	0
H02_pre	148	Picture	+	5471013	0	1	16166	2	0	16060	other	0
H02_pre	150	Picture	+	5528511	0	1	16499	3	0	16480	other	0
H02_pre	152	Picture	+	5586343	0	1	15333	2	0	15220	other	0
H02_pre	154	Picture	+	5643008	0	1	18333	2	0	18220	other	0
H02_pre	156	Picture	+	5702673	0	1	17999	2	0	17900	other	0
H02_pre	158	Picture	+	5761838	0	1	16499	2	0	16440	other	0
H02_pre	160	Picture	+	5819669	0	2	18667	3	0	18580	other	0
H02_pre	162	Picture	+	5879668	0	1	15166	2	0	15090	other	0
H02_pre	164	Picture	+	5936166	0	1	18500	2	0	18370	other	0
H02_pre	166	Picture	+	5995998	0	1	17999	3	0	17840	other	0
H02_pre	168	Picture	+	6055330	0	1	18166	2	0	18150	other	0
H02_pre	170	Picture	+	6114828	0	1	18333	2	0	18250	other	0
H02_pre	172	Picture	+	6174493	0	1	15999	3	0	15930	other	0
H02_pre	174	Picture	+	6231825	0	1	19832	3	0	19820	other	0
H02_pre	176	Picture	+	6292656	0	1	18333	2	0	18180	other	0
H02_pre	178	Picture	+	6352321	0	1	19500	2	0	19430	other	0
H02_pre	180	Picture	+	6413153	0	1	18999	3	0	18870	other	0
H02_pre	182	Picture	+	6473485	0	1	15666	2	0	15620	other	0
