Scenario - 
Logfile written - 03/09/2016 13:08:56

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

H15	4	Picture	+	1250969	0	1	18333	1	0	18210	other	0
H15	6	Picture	+	1311467	0	1	18833	1	0	18730	other	0
H15	8	Picture	+	1372132	0	1	15333	1	0	15180	other	0
H15	10	Picture	+	1429631	0	1	15666	1	0	15610	other	0
H15	12	Picture	+	1487130	0	1	16166	1	0	16040	other	0
H15	14	Picture	+	1545461	0	1	16166	1	0	16070	other	0
H15	16	Picture	+	1603793	0	1	18166	1	0	18110	other	0
H15	18	Picture	+	1664292	0	1	18500	1	0	18480	other	0
H15	20	Picture	+	1724957	0	1	19333	1	0	19170	other	0
H15	22	Picture	+	1786122	0	1	18666	1	0	18540	other	0
H15	24	Picture	+	1846954	0	1	17166	1	0	17100	other	0
H15	26	Picture	+	1906286	0	1	18833	1	0	18760	other	0
H15	28	Picture	+	1967284	0	1	18833	1	0	18720	other	0
H15	30	Picture	+	2028116	0	1	17666	1	0	17620	other	0
H15	32	Picture	+	2087781	0	1	18000	1	0	17980	other	0
H15	34	Picture	+	2147613	0	1	17000	1	0	16960	other	0
H15	36	Picture	+	2206612	0	1	18500	1	0	18330	other	0
H15	38	Picture	+	2267277	0	1	17000	1	0	16910	other	0
H15	40	Picture	+	2326108	0	1	18166	1	0	18140	other	0
H15	42	Picture	+	2386440	0	1	17166	1	0	17010	other	0
H15	44	Picture	+	2445772	0	1	15166	1	0	15070	other	0
H15	46	Picture	+	2503104	0	1	15833	1	0	15710	other	0
H15	48	Picture	+	2561103	0	1	19666	1	0	19550	other	0
H15	50	Picture	+	2622934	0	1	19833	1	0	19670	other	0
H15	52	Picture	+	2684933	0	1	18500	1	0	18410	other	0
H15	54	Picture	+	2745598	0	1	19499	1	0	19390	other	0
H15	56	Picture	+	2807263	0	1	15500	1	0	15420	other	0
H15	58	Picture	+	2864928	0	1	17500	1	0	17420	other	0
H15	60	Picture	+	2924593	0	1	19333	1	0	19280	other	0
H15	62	Picture	+	2985759	0	1	15166	1	0	15150	other	0
H15	64	Picture	+	3043090	0	1	17166	1	0	17000	other	0
H15	66	Picture	+	3102422	0	1	18999	1	0	18900	other	0
