Scenario - 
Logfile written - 02/10/2016 14:52:44

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

H_07 post	4	Picture	+	1250860	0	1	15345	3	0	15200	other	0
H_07 post	5	Picture	neu_23a.jpg	1268168	0	207	40072	208	0	40000	other	0
H_07 post	6	Picture	+	1308407	0	1	16513	3	0	16350	other	0
H_07 post	7	Picture	pos_29a.jpg	1326588	0	2	40033	3	0	40000	other	0
H_07 post	8	Picture	+	1366788	0	1	15346	2	0	15300	other	0
H_07 post	9	Picture	neu_4a.jpg	1383457	0	180	40044	182	0	40000	other	0
H_07 post	10	Picture	+	1423668	0	1	19016	2	0	18860	other	0
H_07 post	11	Picture	neg_27a.jpg	1444168	0	185	40050	186	0	40000	other	0
H_07 post	12	Picture	+	1484385	0	1	20016	2	0	19930	other	0
H_07 post	13	Picture	neg_26a.jpg	1505886	0	185	40049	187	0	40000	other	0
H_07 post	14	Picture	+	1546102	0	1	16514	2	0	16490	other	0
H_07 post	15	Picture	pos_9a.jpg	1564088	0	197	40062	198	0	40000	other	0
H_07 post	16	Picture	+	1604317	0	1	17514	2	0	17490	other	0
H_07 post	17	Picture	neg_21a.jpg	1623316	0	184	40049	185	0	40000	other	0
H_07 post	18	Picture	+	1663532	0	1	15346	2	0	15240	other	0
H_07 post	19	Picture	pos_27a.jpg	1680546	0	1	40033	2	0	40000	other	0
H_07 post	20	Picture	+	1720746	0	1	17347	2	0	17260	other	0
H_07 post	21	Picture	neu_8a.jpg	1739761	0	2	40033	3	0	40000	other	0
H_07 post	22	Picture	+	1779961	0	1	17681	2	0	17660	other	0
H_07 post	23	Picture	pos_14a.jpg	1799137	0	24	40039	25	0	40000	other	0
H_07 post	24	Picture	+	1839343	0	1	19850	2	0	19720	other	0
H_07 post	25	Picture	pos_11a.jpg	1860685	0	24	40042	25	0	40000	other	0
H_07 post	26	Picture	+	1900894	0	1	16180	2	0	16030	other	0
H_07 post	27	Picture	neu_24a.jpg	1918558	0	22	40050	23	0	40000	other	0
H_07 post	28	Picture	+	1958775	0	1	17514	2	0	17390	other	0
H_07 post	29	Picture	neu_7a.jpg	1977957	0	1	40033	2	0	40000	other	0
H_07 post	30	Picture	+	2018157	0	1	19849	3	0	19710	other	0
H_07 post	31	Picture	pos_21a.jpg	2039501	0	14	40040	15	0	40000	other	0
H_07 post	32	Picture	+	2079707	0	2	17681	4	0	17590	other	0
H_07 post	33	Picture	neu_28a.jpg	2098883	0	16	40040	17	0	40000	other	0
H_07 post	34	Picture	+	2139090	0	1	15345	3	0	15180	other	0
H_07 post	35	Picture	neu_12a.jpg	2155937	0	1	40033	2	0	40000	other	0
H_07 post	36	Picture	+	2196136	0	2	19350	3	0	19220	other	0
H_07 post	37	Picture	neg_19a.jpg	2216975	0	180	40045	181	0	40000	other	0
H_07 post	38	Picture	+	2257187	0	1	18348	2	0	18320	other	0
H_07 post	39	Picture	neg_23a.jpg	2277011	0	193	40058	194	0	40000	other	0
H_07 post	40	Picture	+	2317236	0	1	18515	2	0	18360	other	0
H_07 post	41	Picture	pos_5a.jpg	2337243	0	18	40042	19	0	40000	other	0
