Scenario - 
Logfile written - 02/16/2016 13:00:07

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

H_12	4	Picture	+	1250867	0	1	19182	2	0	19140	other	0
H_12	5	Picture	neg_6a.jpg	1272216	0	3	40035	4	0	40000	other	0
H_12	6	Picture	+	1312417	0	2	18182	3	0	18110	other	0
H_12	7	Picture	neg_9a.jpg	1332093	0	14	40040	16	0	40000	other	0
H_12	8	Picture	+	1372300	0	1	19016	2	0	18920	other	0
H_12	9	Picture	neg_7a.jpg	1392778	0	53	40072	55	0	40000	other	0
H_12	10	Picture	+	1433017	0	1	17681	3	0	17530	other	0
H_12	11	Picture	neg_15a.jpg	1452193	0	29	40040	30	0	40000	other	0
H_12	12	Picture	+	1492400	0	1	19516	2	0	19460	other	0
H_12	13	Picture	neu_6a.jpg	1513410	0	16	40040	17	0	40000	other	0
H_12	14	Picture	+	1553617	0	1	18515	2	0	18390	other	0
H_12	15	Picture	pos_25a.jpg	1573627	0	23	40039	25	0	40000	other	0
H_12	16	Picture	+	1613833	0	2	16681	3	0	16540	other	0
H_12	17	Picture	pos_26a.jpg	1632015	0	1	40033	2	0	40000	other	0
H_12	18	Picture	+	1672215	0	1	17014	2	0	16900	other	0
H_12	19	Picture	pos_16a.jpg	1690723	0	24	40040	26	0	40000	other	0
H_12	20	Picture	+	1730930	0	1	17348	2	0	17290	other	0
H_12	21	Picture	neg_19a.jpg	1749946	0	1	40033	2	0	40000	other	0
H_12	22	Picture	+	1790146	0	1	18682	2	0	18570	other	0
H_12	23	Picture	neg_29a.jpg	1810496	0	1	40033	2	0	40000	other	0
H_12	24	Picture	+	1850696	0	1	19516	2	0	19390	other	0
H_12	25	Picture	pos_27a.jpg	1871880	0	1	40033	2	0	40000	other	0
H_12	26	Picture	+	1912080	0	1	16680	3	0	16600	other	0
H_12	27	Picture	pos_4a.jpg	1930262	0	1	40033	2	0	40000	other	0
H_12	28	Picture	+	1970462	0	1	16180	2	0	16020	other	0
H_12	29	Picture	neg_3a.jpg	1988131	0	18	40045	19	0	40000	other	0
H_12	30	Picture	+	2028343	0	1	17681	2	0	17570	other	0
H_12	31	Picture	neu_23a.jpg	2047513	0	180	40045	182	0	40000	other	0
H_12	32	Picture	+	2087725	0	1	19516	2	0	19430	other	0
H_12	33	Picture	neg_26a.jpg	2108726	0	185	40050	186	0	40000	other	0
H_12	34	Picture	+	2148942	0	2	18682	4	0	18630	other	0
H_12	35	Picture	neu_11a.jpg	2169293	0	1	40033	2	0	40000	other	0
H_12	36	Picture	+	2209492	0	2	16014	3	0	15920	other	0
H_12	37	Picture	neg_24a.jpg	2226987	0	188	40053	189	0	40000	other	0
H_12	38	Picture	+	2267207	0	1	20016	3	0	19980	other	0
H_12	39	Picture	pos_24a.jpg	2288725	0	1	40033	2	0	40000	other	0
H_12	40	Picture	+	2328924	0	2	16848	3	0	16730	other	0
H_12	41	Picture	pos_20a.jpg	2347440	0	1	40033	2	0	40000	other	0
H_12	42	Picture	+	2387640	0	1	16347	2	0	16180	other	0
H_12	43	Picture	neg_17a.jpg	2405655	0	1	40033	2	0	40000	other	0
H_12	44	Picture	+	2445855	0	1	17514	2	0	17430	other	0
H_12	45	Picture	neu_3a.jpg	2465037	0	1	40033	2	0	40000	other	0
H_12	46	Picture	+	2505237	0	1	18849	2	0	18780	other	0
H_12	47	Picture	pos_3a.jpg	2525587	0	1	40033	2	0	40000	other	0
H_12	48	Picture	+	2565787	0	1	15847	2	0	15800	other	0
H_12	49	Picture	neu_27a.jpg	2583135	0	1	40033	2	0	40000	other	0
H_12	50	Picture	+	2623335	0	1	18181	3	0	18030	other	0
H_12	51	Picture	neu_1a.jpg	2643185	0	1	40033	2	0	40000	other	0
H_12	52	Picture	+	2683384	0	2	15847	3	0	15820	other	0
H_12	53	Picture	neu_9a.jpg	2700899	0	1	40033	2	0	40000	other	0
H_12	54	Picture	+	2741099	0	1	18015	2	0	17900	other	0
H_12	55	Picture	neg_11a.jpg	2760782	0	1	40033	2	0	40000	other	0
H_12	56	Picture	+	2800982	0	1	17681	2	0	17520	other	0
H_12	57	Picture	pos_6a.jpg	2820164	0	2	40034	3	0	40000	other	0
H_12	58	Picture	+	2860364	0	2	17515	3	0	17370	other	0
H_12	59	Picture	neu_25a.jpg	2879373	0	14	40040	15	0	40000	other	0
H_12	60	Picture	+	2919580	0	1	16347	2	0	16230	other	0
H_12	61	Picture	neu_12a.jpg	2937428	0	2	40033	4	0	40000	other	0
H_12	62	Picture	+	2977628	0	1	17348	2	0	17300	other	0
H_12	63	Picture	neu_14a.jpg	2996455	0	190	40055	191	0	40000	other	0
H_12	64	Picture	+	3036677	0	1	18349	2	0	18200	other	0
H_12	65	Picture	pos_29a.jpg	3056520	0	12	40040	13	0	40000	other	0
H_12	66	Picture	+	3096727	0	1	17014	2	0	16840	other	0
