Scenario - 
Logfile written - 03/14/2016 15:48:06

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

H_20	4	Picture	+	1250961	0	1	16833	1	0	16710	other	0
H_20	6	Picture	+	1310126	0	1	15833	1	0	15740	other	0
H_20	8	Picture	+	1368124	0	1	18499	1	0	18380	other	0
H_20	10	Picture	+	1428789	0	1	16999	1	0	16910	other	0
H_20	12	Picture	+	1487620	0	1	17833	1	0	17660	other	0
H_20	14	Picture	+	1547619	0	1	15333	1	0	15310	other	0
H_20	16	Picture	+	1605117	0	1	16166	1	0	16010	other	0
H_20	18	Picture	+	1663115	0	1	15833	1	0	15720	other	0
H_20	20	Picture	+	1720780	0	1	19999	1	0	19970	other	0
H_20	22	Picture	+	1782778	0	1	17499	1	0	17450	other	0
H_20	24	Picture	+	1842276	0	1	18333	1	0	18300	other	0
H_20	26	Picture	+	1902774	0	1	15333	1	0	15250	other	0
H_20	28	Picture	+	1960272	0	1	18666	1	0	18570	other	0
H_20	30	Picture	+	2021104	0	1	18499	1	0	18350	other	0
H_20	32	Picture	+	2081602	0	1	18333	1	0	18290	other	0
H_20	34	Picture	+	2141767	0	1	16166	1	0	16140	other	0
H_20	36	Picture	+	2199765	0	1	17833	1	0	17700	other	0
H_20	38	Picture	+	2259596	0	1	15333	1	0	15190	other	0
H_20	40	Picture	+	2316761	0	1	19499	1	0	19370	other	0
H_20	42	Picture	+	2378426	0	1	17999	1	0	17890	other	0
H_20	44	Picture	+	2438591	0	1	18499	1	0	18420	other	0
H_20	46	Picture	+	2499256	0	1	18833	1	0	18730	other	0
H_20	48	Picture	+	2560087	0	1	17833	1	0	17780	other	0
H_20	50	Picture	+	2619919	0	1	16666	1	0	16540	other	0
H_20	52	Picture	+	2678583	0	1	15333	1	0	15200	other	0
H_20	54	Picture	+	2735915	0	1	18666	1	0	18550	other	0
H_20	56	Picture	+	2796413	0	1	19666	1	0	19590	other	0
H_20	58	Picture	+	2858078	0	1	16166	1	0	16150	other	0
H_20	60	Picture	+	2916243	0	1	16666	1	0	16610	other	0
H_20	62	Picture	+	2974908	0	1	17499	1	0	17460	other	0
H_20	64	Picture	+	3034239	0	1	17666	1	0	17510	other	0
H_20	66	Picture	+	3093904	0	1	17666	1	0	17530	other	0
H_20	68	Picture	+	3153569	0	1	17999	1	0	17970	other	0
H_20	70	Picture	+	3213234	0	1	17499	1	0	17340	other	0
H_20	72	Picture	+	3272565	0	1	18666	1	0	18490	other	0
H_20	74	Picture	+	3333230	0	1	17999	1	0	17830	other	0
H_20	76	Picture	+	3393228	0	1	17833	1	0	17810	other	0
H_20	78	Picture	+	3453226	0	1	17166	1	0	17030	other	0
H_20	80	Picture	+	3512391	0	1	18333	1	0	18180	other	0
H_20	82	Picture	+	3572722	0	1	17333	1	0	17160	other	0
H_20	84	Picture	+	3631887	0	1	18166	1	0	18010	other	0
H_20	86	Picture	+	3691885	0	1	16166	1	0	15990	other	0
H_20	88	Picture	+	3749883	0	1	17000	1	0	16840	other	0
H_20	90	Picture	+	3809048	0	1	19999	1	0	19920	other	0
H_20	92	Picture	+	3871046	0	1	18166	1	0	18090	other	0
H_20	94	Picture	+	3931378	0	1	16166	1	0	16080	other	0
H_20	96	Picture	+	3989376	0	1	17333	1	0	17220	other	0
H_20	98	Picture	+	4048708	0	1	18833	1	0	18780	other	0
H_20	100	Picture	+	4109372	0	1	18166	1	0	18020	other	0
H_20	102	Picture	+	4169704	0	1	16833	1	0	16790	other	0
H_20	104	Picture	+	4228535	0	1	16833	1	0	16810	other	0
H_20	106	Picture	+	4287533	0	1	16000	1	0	15940	other	0
H_20	108	Picture	+	4345698	0	1	19999	1	0	19950	other	0
H_20	110	Picture	+	4407696	0	1	15833	1	0	15710	other	0
H_20	112	Picture	+	4465361	0	1	15333	1	0	15320	other	0
H_20	114	Picture	+	4522859	0	1	15833	1	0	15660	other	0
H_20	116	Picture	+	4580524	0	1	18833	1	0	18760	other	0
H_20	118	Picture	+	4641356	0	1	15500	1	0	15420	other	0
H_20	120	Picture	+	4699021	0	1	19333	1	0	19270	other	0
H_20	122	Picture	+	4760519	0	1	17333	1	0	17310	other	0
H_20	124	Picture	+	4819683	0	1	15166	1	0	15010	other	0
H_20	126	Picture	+	4876682	0	1	17666	1	0	17600	other	0
H_20	128	Picture	+	4936680	0	1	19333	1	0	19250	other	0
H_20	130	Picture	+	4998011	0	1	15666	1	0	15580	other	0
H_20	132	Picture	+	5055676	0	1	16333	1	0	16170	other	0
H_20	134	Picture	+	5114174	0	1	18999	1	0	18980	other	0
H_20	136	Picture	+	5175172	0	1	16999	1	0	16960	other	0
H_20	138	Picture	+	5234170	0	1	16333	1	0	16320	other	0
H_20	140	Picture	+	5292335	0	1	19166	1	0	19150	other	0
H_20	142	Picture	+	5353500	0	1	16499	1	0	16340	other	0
H_20	144	Picture	+	5411832	0	1	18499	1	0	18390	other	0
H_20	146	Picture	+	5472163	0	1	16500	1	0	16450	other	0
H_20	148	Picture	+	5530661	0	1	19333	1	0	19200	other	0
H_20	150	Picture	+	5591993	0	1	16833	1	0	16710	other	0
H_20	152	Picture	+	5650658	0	1	19499	1	0	19420	other	0
H_20	154	Picture	+	5712156	0	1	17499	1	0	17410	other	0
H_20	156	Picture	+	5771654	0	1	15666	1	0	15650	other	0
H_20	158	Picture	+	5829652	0	1	17333	1	0	17310	other	0
H_20	160	Picture	+	5888817	0	1	16666	1	0	16510	other	0
H_20	162	Picture	+	5947315	0	1	16833	1	0	16790	other	0
H_20	164	Picture	+	6006146	0	1	17999	1	0	17980	other	0
H_20	166	Picture	+	6066144	0	1	17000	1	0	16880	other	0
H_20	168	Picture	+	6125143	0	1	15166	1	0	15010	other	0
H_20	170	Picture	+	6182308	0	1	17166	1	0	17120	other	0
H_20	172	Picture	+	6241306	0	1	17999	1	0	17920	other	0
H_20	174	Picture	+	6301471	0	1	17999	1	0	17850	other	0
H_20	176	Picture	+	6361469	0	1	17833	1	0	17790	other	0
H_20	178	Picture	+	6421133	0	1	17333	1	0	17210	other	0
H_20	180	Picture	+	6480298	0	1	19999	1	0	19890	other	0
H_20	182	Picture	+	6543130	0	1	18666	1	0	18530	other	0
