Scenario - 
Logfile written - 12/16/2015 13:34:38

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

N04_post	4	Picture	+	1250966	0	1	16166	2	0	16020	other	0
N04_post	5	Picture	pos_22a.jpg	1268269	0	197	40028	199	0	40000	other	0
N04_post	6	Picture	+	1308464	0	1	18499	3	0	18340	other	0
N04_post	7	Picture	neg_14a.jpg	1327963	0	2	40166	3	0	40000	other	0
N04_post	8	Picture	+	1368296	0	1	15833	2	0	15700	other	0
N04_post	9	Picture	pos_17a.jpg	1385129	0	1	40165	2	0	40000	other	0
N04_post	10	Picture	+	1425461	0	1	16166	2	0	15990	other	0
N04_post	11	Picture	neu_26a.jpg	1442448	0	180	40011	181	0	40000	other	0
N04_post	12	Picture	+	1482470	0	324	17655	326	0	17550	other	0
N04_post	13	Picture	neu_1a.jpg	1501125	0	2	40166	3	0	40000	other	0
N04_post	14	Picture	+	1541458	0	1	15166	2	0	15040	other	0
N04_post	15	Picture	neu_13a.jpg	1557624	0	1	40165	3	0	40000	other	0
N04_post	16	Picture	+	1597956	0	1	19500	2	0	19370	other	0
N04_post	17	Picture	neg_22a.jpg	1618456	0	1	40165	2	0	40000	other	0
N04_post	18	Picture	+	1658788	0	1	19166	2	0	19000	other	0
N04_post	19	Picture	pos_14a.jpg	1678954	0	1	40165	3	0	40000	other	0
N04_post	20	Picture	+	1719286	0	1	19333	2	0	19210	other	0
N04_post	21	Picture	neu_6a.jpg	1739619	0	1	40165	3	0	40000	other	0
N04_post	22	Picture	+	1779951	0	1	16666	3	0	16590	other	0
N04_post	23	Picture	pos_27a.jpg	1797617	0	2	40166	3	0	40000	other	0
N04_post	24	Picture	+	1837950	0	1	18666	2	0	18570	other	0
N04_post	25	Picture	pos_8a.jpg	1857616	0	1	40165	2	0	40000	other	0
N04_post	26	Picture	+	1897948	0	1	16166	2	0	16030	other	0
N04_post	27	Picture	neu_27a.jpg	1914947	0	2	40166	3	0	40000	other	0
N04_post	28	Picture	+	1955280	0	1	18999	2	0	18830	other	0
N04_post	29	Picture	neg_16a.jpg	1975279	0	1	40166	2	0	40000	other	0
N04_post	30	Picture	+	2015611	0	2	16333	4	0	16230	other	0
N04_post	31	Picture	neu_18a.jpg	2032944	0	2	40166	3	0	40000	other	0
N04_post	32	Picture	+	2073277	0	1	17166	2	0	17100	other	0
N04_post	33	Picture	neu_30a.jpg	2091443	0	1	40165	2	0	40000	other	0
N04_post	34	Picture	+	2131775	0	1	18499	3	0	18440	other	0
N04_post	35	Picture	pos_11a.jpg	2151274	0	2	40166	3	0	40000	other	0
N04_post	36	Picture	+	2191607	0	1	18499	2	0	18460	other	0
N04_post	37	Picture	pos_29a.jpg	2211106	0	1	40166	2	0	40000	other	0
N04_post	38	Picture	+	2251438	0	2	18500	3	0	18450	other	0
N04_post	39	Picture	pos_21a.jpg	2270938	0	1	40165	3	0	40000	other	0
N04_post	40	Picture	+	2311270	0	1	16500	2	0	16330	other	0
N04_post	41	Picture	neu_4a.jpg	2328603	0	1	40166	2	0	40000	other	0
N04_post	42	Picture	+	2368935	0	1	15833	2	0	15800	other	0
N04_post	43	Picture	neg_29a.jpg	2385768	0	1	40166	2	0	40000	other	0
N04_post	44	Picture	+	2426100	0	1	19833	2	0	19820	other	0
N04_post	45	Picture	neg_13a.jpg	2446727	0	207	40038	208	0	40000	other	0
N04_post	46	Picture	+	2486932	0	1	16833	2	0	16680	other	0
N04_post	47	Picture	neg_21a.jpg	2504765	0	1	40165	2	0	40000	other	0
N04_post	48	Picture	+	2545097	0	1	16166	2	0	16060	other	0
N04_post	49	Picture	pos_12a.jpg	2562263	0	1	40166	2	0	40000	other	0
N04_post	50	Picture	+	2602595	0	2	16167	3	0	16060	other	0
N04_post	51	Picture	neu_10a.jpg	2619762	0	1	40165	2	0	40000	other	0
N04_post	52	Picture	+	2660094	0	1	17833	2	0	17710	other	0
N04_post	53	Picture	neg_8a.jpg	2678927	0	1	40165	2	0	40000	other	0
N04_post	54	Picture	+	2719259	0	1	17833	2	0	17670	other	0
N04_post	55	Picture	neg_2a.jpg	2738092	0	1	40165	2	0	40000	other	0
N04_post	56	Picture	+	2778424	0	1	16166	2	0	16030	other	0
N04_post	57	Picture	pos_19a.jpg	2795590	0	1	40166	2	0	40000	other	0
N04_post	58	Picture	+	2835922	0	2	18000	3	0	17910	other	0
N04_post	59	Picture	neg_6a.jpg	2854922	0	1	40165	3	0	40000	other	0
N04_post	60	Picture	+	2895254	0	1	15333	2	0	15260	other	0
N04_post	61	Picture	pos_7a.jpg	2911407	0	181	40012	182	0	40000	other	0
N04_post	62	Picture	+	2951430	0	324	15822	325	0	15680	other	0
N04_post	63	Picture	neu_21a.jpg	2968074	0	179	40010	180	0	40000	other	0
N04_post	64	Picture	+	3008095	0	324	18322	325	0	18300	other	0
N04_post	65	Picture	neu_11a.jpg	3027417	0	1	40166	2	0	40000	other	0
N04_post	66	Picture	+	3067749	0	1	18167	2	0	18000	other	0
