Scenario - 
Logfile written - 12/16/2015 13:01:55

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

N04_pre	4	Picture	+	1250964	0	1	19832	3	0	19790	other	0
N04_pre	6	Picture	+	1312129	0	1	15166	2	0	15120	other	0
N04_pre	8	Picture	+	1368627	0	1	19833	2	0	19690	other	0
N04_pre	10	Picture	+	1429792	0	1	19166	2	0	19030	other	0
N04_pre	12	Picture	+	1490290	0	1	15833	2	0	15790	other	0
N04_pre	14	Picture	+	1547455	0	1	17666	3	0	17600	other	0
N04_pre	16	Picture	+	1606454	0	1	15832	3	0	15750	other	0
N04_pre	18	Picture	+	1663619	0	1	15666	2	0	15620	other	0
N04_pre	20	Picture	+	1720284	0	1	16499	2	0	16470	other	0
N04_pre	22	Picture	+	1778115	0	2	19333	3	0	19270	other	0
N04_pre	24	Picture	+	1838780	0	1	16666	3	0	16630	other	0
N04_pre	26	Picture	+	1896779	0	1	18999	2	0	18930	other	0
N04_pre	28	Picture	+	1956944	0	1	18332	3	0	18310	other	0
N04_pre	30	Picture	+	2016609	0	1	17499	2	0	17350	other	0
N04_pre	32	Picture	+	2075440	0	1	16000	2	0	15980	other	0
N04_pre	34	Picture	+	2132772	0	1	17166	2	0	17040	other	0
N04_pre	36	Picture	+	2191270	0	1	17666	3	0	17590	other	0
N04_pre	38	Picture	+	2250269	0	1	16666	2	0	16490	other	0
N04_pre	40	Picture	+	2308267	0	1	19499	3	0	19370	other	0
N04_pre	42	Picture	+	2369099	0	1	18499	2	0	18470	other	0
N04_pre	44	Picture	+	2428764	0	1	17499	2	0	17420	other	0
N04_pre	46	Picture	+	2487595	0	1	18666	2	0	18570	other	0
N04_pre	48	Picture	+	2547593	0	2	15500	3	0	15380	other	0
N04_pre	50	Picture	+	2604092	0	1	18833	2	0	18680	other	0
N04_pre	52	Picture	+	2663923	0	2	15500	3	0	15470	other	0
N04_pre	54	Picture	+	2720755	0	1	17166	3	0	17030	other	0
N04_pre	56	Picture	+	2779254	0	1	19999	2	0	19910	other	0
N04_pre	58	Picture	+	2840585	0	1	19833	2	0	19740	other	0
N04_pre	60	Picture	+	2901750	0	1	18500	2	0	18410	other	0
N04_pre	62	Picture	+	2961582	0	1	18499	2	0	18440	other	0
N04_pre	64	Picture	+	3021913	0	1	16667	2	0	16500	other	0
N04_pre	66	Picture	+	3079745	0	1	19166	2	0	19060	other	0
N04_pre	68	Picture	+	3140243	0	1	16500	2	0	16430	other	0
N04_pre	70	Picture	+	3198075	0	1	15833	2	0	15790	other	0
N04_pre	72	Picture	+	3255240	0	1	19499	3	0	19430	other	0
N04_pre	74	Picture	+	3315738	0	1	17333	2	0	17220	other	0
N04_pre	76	Picture	+	3374237	0	1	17333	2	0	17190	other	0
N04_pre	78	Picture	+	3432902	0	1	18666	2	0	18590	other	0
N04_pre	80	Picture	+	3492900	0	1	16999	3	0	16940	other	0
N04_pre	82	Picture	+	3551898	0	2	19833	3	0	19710	other	0
N04_pre	84	Picture	+	3613063	0	1	15833	2	0	15760	other	0
N04_pre	86	Picture	+	3670062	0	1	16166	2	0	16000	other	0
N04_pre	88	Picture	+	3727560	0	1	16333	2	0	16270	other	0
N04_pre	90	Picture	+	3785225	0	1	16833	2	0	16820	other	0
N04_pre	92	Picture	+	3843390	0	1	18500	2	0	18410	other	0
N04_pre	94	Picture	+	3902888	0	2	17000	3	0	16880	other	0
N04_pre	96	Picture	+	3961220	0	1	19833	2	0	19780	other	0
N04_pre	98	Picture	+	4022385	0	1	17833	2	0	17790	other	0
N04_pre	100	Picture	+	4081550	0	1	16333	2	0	16270	other	0
N04_pre	102	Picture	+	4139215	0	1	16500	2	0	16390	other	0
N04_pre	104	Picture	+	4197047	0	1	15833	2	0	15790	other	0
N04_pre	106	Picture	+	4254212	0	1	19833	2	0	19810	other	0
N04_pre	108	Picture	+	4315210	0	1	17666	2	0	17490	other	0
N04_pre	110	Picture	+	4374208	0	2	16500	3	0	16480	other	0
N04_pre	112	Picture	+	4431873	0	2	18167	3	0	18090	other	0
N04_pre	114	Picture	+	4491372	0	1	18499	2	0	18370	other	0
N04_pre	116	Picture	+	4551203	0	2	17000	3	0	16830	other	0
N04_pre	118	Picture	+	4609535	0	1	16333	2	0	16300	other	0
N04_pre	120	Picture	+	4667200	0	1	20000	2	0	19950	other	0
N04_pre	122	Picture	+	4728532	0	1	19666	2	0	19580	other	0
N04_pre	124	Picture	+	4789530	0	1	17666	2	0	17590	other	0
N04_pre	126	Picture	+	4848528	0	1	19000	2	0	18940	other	0
N04_pre	128	Picture	+	4908860	0	1	16500	2	0	16450	other	0
N04_pre	130	Picture	+	4966692	0	1	15499	2	0	15460	other	0
N04_pre	132	Picture	+	5023523	0	2	19666	4	0	19600	other	0
N04_pre	134	Picture	+	5084522	0	1	16499	2	0	16330	other	0
N04_pre	136	Picture	+	5142353	0	1	17833	2	0	17800	other	0
N04_pre	138	Picture	+	5201518	0	1	19666	3	0	19630	other	0
N04_pre	140	Picture	+	5262517	0	1	17832	3	0	17780	other	0
N04_pre	142	Picture	+	5321682	0	1	19666	2	0	19520	other	0
N04_pre	144	Picture	+	5382513	0	1	16000	2	0	15940	other	0
N04_pre	146	Picture	+	5439845	0	1	17999	3	0	17860	other	0
N04_pre	148	Picture	+	5499177	0	1	16499	2	0	16430	other	0
N04_pre	150	Picture	+	5557008	0	2	19833	3	0	19680	other	0
N04_pre	152	Picture	+	5618173	0	1	17833	2	0	17730	other	0
N04_pre	154	Picture	+	5677172	0	1	15999	2	0	15870	other	0
N04_pre	156	Picture	+	5734170	0	1	18833	2	0	18760	other	0
N04_pre	158	Picture	+	5794335	0	1	15333	2	0	15210	other	0
N04_pre	160	Picture	+	5851000	0	1	16833	2	0	16720	other	0
N04_pre	162	Picture	+	5909165	0	1	17500	2	0	17370	other	0
N04_pre	164	Picture	+	5967997	0	1	16999	2	0	16910	other	0
N04_pre	166	Picture	+	6026328	0	2	17000	3	0	16850	other	0
N04_pre	168	Picture	+	6084660	0	1	20166	2	0	19990	other	0
N04_pre	170	Picture	+	6146658	0	2	18833	3	0	18800	other	0
N04_pre	172	Picture	+	6206823	0	1	19500	2	0	19390	other	0
N04_pre	174	Picture	+	6267655	0	1	16333	2	0	16180	other	0
N04_pre	176	Picture	+	6325320	0	1	17333	2	0	17290	other	0
N04_pre	178	Picture	+	6383985	0	1	19166	2	0	19030	other	0
N04_pre	180	Picture	+	6444483	0	1	18000	2	0	17910	other	0
