Scenario - 
Logfile written - 03/01/2016 13:03:24

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

N15	4	Picture	+	1250966	0	1	18166	1	0	18010	other	0
N15	5	Picture	neu_4a.jpg	1271132	0	1	40166	1	0	40000	other	0
N15	6	Picture	+	1311464	0	1	19833	1	0	19710	other	0
N15	7	Picture	pos_17a.jpg	1333130	0	1	40166	1	0	40000	other	0
N15	8	Picture	+	1373463	0	1	18833	1	0	18750	other	0
N15	9	Picture	neu_18a.jpg	1394129	0	1	40166	1	0	40000	other	0
N15	10	Picture	+	1434461	0	1	16166	1	0	15990	other	0
N15	11	Picture	neg_25a.jpg	1452461	0	1	40166	1	0	40000	other	0
N15	12	Picture	+	1492793	0	1	17833	1	0	17820	other	0
N15	13	Picture	neg_23a.jpg	1512276	0	184	40016	184	0	40000	other	0
N15	14	Picture	+	1552458	0	1	15333	1	0	15290	other	0
N15	15	Picture	neu_9a.jpg	1569624	0	1	40166	1	0	40000	other	0
N15	16	Picture	+	1609956	0	1	18166	1	0	18040	other	0
N15	17	Picture	pos_10a.jpg	1629789	0	1	40166	1	0	40000	other	0
N15	18	Picture	+	1670121	0	1	15333	1	0	15220	other	0
N15	19	Picture	pos_14a.jpg	1687099	0	189	40021	190	0	40000	other	0
N15	20	Picture	+	1727287	0	1	18166	1	0	18080	other	0
N15	21	Picture	pos_1a.jpg	1747286	0	1	40166	1	0	40000	other	0
N15	22	Picture	+	1787618	0	1	16500	1	0	16470	other	0
N15	23	Picture	neu_25a.jpg	1805784	0	1	40166	1	0	40000	other	0
N15	24	Picture	+	1846117	0	1	16833	1	0	16770	other	0
N15	25	Picture	neg_12a.jpg	1864616	0	1	40166	1	0	40000	other	0
N15	26	Picture	+	1904948	0	1	17833	1	0	17750	other	0
N15	27	Picture	neu_6a.jpg	1924448	0	1	40166	1	0	40000	other	0
N15	28	Picture	+	1964780	0	1	19999	1	0	19930	other	0
N15	29	Picture	neg_21a.jpg	1986430	0	184	40016	184	0	40000	other	0
N15	30	Picture	+	2026612	0	1	19666	1	0	19650	other	0
N15	31	Picture	pos_8a.jpg	2048111	0	1	40166	1	0	40000	other	0
N15	32	Picture	+	2088443	0	1	16833	1	0	16660	other	0
N15	33	Picture	neg_19a.jpg	2107110	0	1	40166	1	0	40000	other	0
N15	34	Picture	+	2147442	0	1	17666	1	0	17490	other	0
N15	35	Picture	pos_29a.jpg	2166741	0	201	40032	201	0	40000	other	0
N15	36	Picture	+	2206940	0	1	18500	1	0	18420	other	0
N15	37	Picture	neg_30a.jpg	2227106	0	1	40166	1	0	40000	other	0
N15	38	Picture	+	2267439	0	1	17499	1	0	17440	other	0
N15	39	Picture	neg_22a.jpg	2286771	0	1	40166	1	0	40000	other	0
N15	40	Picture	+	2327104	0	1	15666	1	0	15590	other	0
N15	41	Picture	pos_23a.jpg	2344603	0	1	40166	1	0	40000	other	0
N15	42	Picture	+	2384935	0	1	15333	1	0	15190	other	0
N15	43	Picture	neu_1a.jpg	2402102	0	1	40166	1	0	40000	other	0
N15	44	Picture	+	2442434	0	1	17500	1	0	17390	other	0
N15	45	Picture	pos_26a.jpg	2461600	0	1	40166	1	0	40000	other	0
N15	46	Picture	+	2501932	0	1	18000	1	0	17960	other	0
N15	47	Picture	pos_19a.jpg	2521765	0	1	40166	1	0	40000	other	0
N15	48	Picture	+	2562097	0	1	17499	1	0	17410	other	0
N15	49	Picture	neg_16a.jpg	2581430	0	1	40166	1	0	40000	other	0
N15	50	Picture	+	2621762	0	1	16000	1	0	15830	other	0
N15	51	Picture	neu_16a.jpg	2639407	0	189	40020	189	0	40000	other	0
N15	52	Picture	+	2679594	0	1	19833	1	0	19740	other	0
N15	53	Picture	neg_24a.jpg	2701260	0	1	40166	1	0	40000	other	0
N15	54	Picture	+	2741592	0	1	19000	1	0	18890	other	0
N15	55	Picture	neg_2a.jpg	2762258	0	1	40166	1	0	40000	other	0
N15	56	Picture	+	2802591	0	1	16666	1	0	16600	other	0
N15	57	Picture	pos_5a.jpg	2820893	0	198	40029	198	0	40000	other	0
N15	58	Picture	+	2861089	0	1	18166	1	0	18090	other	0
N15	59	Picture	pos_15a.jpg	2881089	0	1	40166	1	0	40000	other	0
N15	60	Picture	+	2921421	0	1	18666	1	0	18530	other	0
N15	61	Picture	neg_10a.jpg	2941920	0	1	40166	1	0	40000	other	0
N15	62	Picture	+	2982252	0	1	17166	1	0	16990	other	0
N15	63	Picture	neg_14a.jpg	3001252	0	1	40166	1	0	40000	other	0
N15	64	Picture	+	3041584	0	1	17000	1	0	16910	other	0
N15	65	Picture	neu_30a.jpg	3060417	0	1	40166	1	0	40000	other	0
N15	66	Picture	+	3100749	0	1	15166	1	0	15050	other	0
N15	67	Picture	neg_3a.jpg	3117556	0	193	40025	193	0	40000	other	0
N15	68	Picture	+	3157748	0	1	19166	1	0	19150	other	0
N15	69	Picture	pos_6a.jpg	3178580	0	1	40166	1	0	40000	other	0
N15	70	Picture	+	3218913	0	1	16000	1	0	15930	other	0
N15	71	Picture	neu_5a.jpg	3236745	0	1	40166	1	0	40000	other	0
N15	72	Picture	+	3277078	0	1	16666	1	0	16550	other	0
