Scenario - 
Logfile written - 03/01/2016 12:30:31

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

N15	4	Picture	+	1250965	0	1	18833	1	0	18730	other	0
N15	6	Picture	+	1312130	0	1	18499	1	0	18460	other	0
N15	8	Picture	+	1372795	0	1	19666	1	0	19510	other	0
N15	10	Picture	+	1434460	0	1	19833	1	0	19810	other	0
N15	12	Picture	+	1496625	0	1	17666	1	0	17580	other	0
N15	14	Picture	+	1556123	0	1	16500	1	0	16450	other	0
N15	16	Picture	+	1614788	0	1	17666	1	0	17640	other	0
N15	18	Picture	+	1674620	0	1	19833	1	0	19800	other	0
N15	20	Picture	+	1736451	0	1	15166	1	0	15080	other	0
N15	22	Picture	+	1793783	0	1	18833	1	0	18770	other	0
N15	24	Picture	+	1854781	0	1	18833	1	0	18770	other	0
N15	26	Picture	+	1915446	0	1	15166	1	0	15120	other	0
N15	28	Picture	+	1972611	0	1	15166	1	0	15030	other	0
N15	30	Picture	+	2029776	0	1	18000	1	0	17890	other	0
N15	32	Picture	+	2089775	0	1	19666	1	0	19630	other	0
N15	34	Picture	+	2151273	0	1	17166	1	0	17020	other	0
N15	36	Picture	+	2210605	0	1	15166	1	0	15150	other	0
N15	38	Picture	+	2267936	0	1	18499	1	0	18450	other	0
N15	40	Picture	+	2328601	0	1	18833	1	0	18800	other	0
N15	42	Picture	+	2389600	0	1	16833	1	0	16690	other	0
N15	44	Picture	+	2448598	0	1	16500	1	0	16360	other	0
N15	46	Picture	+	2506930	0	1	18166	1	0	18030	other	0
N15	48	Picture	+	2567095	0	1	19999	1	0	19940	other	0
N15	50	Picture	+	2628926	0	1	19333	1	0	19300	other	0
N15	52	Picture	+	2690425	0	1	18000	1	0	17910	other	0
N15	54	Picture	+	2750590	0	1	18833	1	0	18660	other	0
N15	56	Picture	+	2811588	0	1	16000	1	0	15970	other	0
N15	58	Picture	+	2870253	0	1	16666	1	0	16540	other	0
N15	60	Picture	+	2928751	0	1	16666	1	0	16590	other	0
