Scenario - 
Logfile written - 12/08/2015 10:12:01

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

N_02_post	4	Picture	+	1250958	0	1	20000	2	0	19940	other	0
N_02_post	5	Picture	neg_21a.jpg	1272078	0	214	40045	215	0	40000	other	0
N_02_post	6	Picture	+	1312290	0	1	19666	2	0	19650	other	0
N_02_post	7	Picture	pos_6a.jpg	1332758	0	199	40030	200	0	40000	other	0
N_02_post	8	Picture	+	1372954	0	1	16833	2	0	16800	other	0
N_02_post	9	Picture	pos_29a.jpg	1390787	0	1	40165	2	0	40000	other	0
N_02_post	10	Picture	+	1431119	0	1	17833	2	0	17810	other	0
N_02_post	11	Picture	pos_10a.jpg	1449952	0	1	40165	2	0	40000	other	0
N_02_post	12	Picture	+	1490284	0	1	17332	3	0	17280	other	0
N_02_post	13	Picture	pos_17a.jpg	1508616	0	2	40166	3	0	40000	other	0
N_02_post	14	Picture	+	1548946	0	9	19002	10	0	18850	other	0
N_02_post	15	Picture	neu_2a.jpg	1568948	0	1	40165	2	0	40000	other	0
N_02_post	16	Picture	+	1609280	0	1	16166	2	0	16150	other	0
N_02_post	17	Picture	neg_25a.jpg	1626445	0	2	40166	3	0	40000	other	0
N_02_post	18	Picture	+	1666778	0	1	19833	2	0	19680	other	0
N_02_post	19	Picture	neg_8a.jpg	1687611	0	1	40165	2	0	40000	other	0
N_02_post	20	Picture	+	1727943	0	1	18499	2	0	18360	other	0
N_02_post	21	Picture	neg_24a.jpg	1747442	0	1	40165	2	0	40000	other	0
N_02_post	22	Picture	+	1787774	0	1	18833	2	0	18810	other	0
N_02_post	23	Picture	pos_21a.jpg	1807607	0	1	40165	2	0	40000	other	0
N_02_post	24	Picture	+	1847939	0	1	19166	2	0	18990	other	0
N_02_post	25	Picture	neg_27a.jpg	1868105	0	1	40165	2	0	40000	other	0
N_02_post	26	Picture	+	1908437	0	1	16332	3	0	16190	other	0
N_02_post	27	Picture	pos_15a.jpg	1925769	0	2	40166	3	0	40000	other	0
N_02_post	28	Picture	+	1966101	0	2	17833	3	0	17680	other	0
N_02_post	29	Picture	neu_11a.jpg	1984934	0	1	40165	3	0	40000	other	0
N_02_post	30	Picture	+	2025266	0	1	19666	2	0	19590	other	0
N_02_post	31	Picture	neg_16a.jpg	2045932	0	1	40165	3	0	40000	other	0
N_02_post	32	Picture	+	2086264	0	1	19999	3	0	19870	other	0
N_02_post	33	Picture	neu_24a.jpg	2107263	0	2	40166	3	0	40000	other	0
N_02_post	34	Picture	+	2147595	0	2	16167	3	0	16070	other	0
N_02_post	35	Picture	neg_11a.jpg	2164762	0	1	40165	2	0	40000	other	0
N_02_post	36	Picture	+	2205094	0	1	15332	3	0	15220	other	0
N_02_post	37	Picture	neu_28a.jpg	2221426	0	2	40166	3	0	40000	other	0
N_02_post	38	Picture	+	2261758	0	2	19666	4	0	19640	other	0
N_02_post	39	Picture	neu_14a.jpg	2282424	0	2	40166	3	0	40000	other	0
N_02_post	40	Picture	+	2322756	0	1	16500	2	0	16330	other	0
N_02_post	41	Picture	neu_20a.jpg	2340256	0	1	40165	2	0	40000	other	0
N_02_post	42	Picture	+	2380588	0	1	17332	3	0	17310	other	0
N_02_post	43	Picture	neu_13a.jpg	2398920	0	2	40166	3	0	40000	other	0
N_02_post	44	Picture	+	2439252	0	2	18000	3	0	17880	other	0
N_02_post	45	Picture	neu_25a.jpg	2458074	0	179	40000	357	0	40000	other	0
N_02_post	46	Picture	+	2498417	0	1	15166	3	0	15030	other	0
N_02_post	47	Picture	pos_18a.jpg	2514583	0	2	40166	3	0	40000	other	0
N_02_post	48	Picture	+	2554915	0	2	17166	4	0	17110	other	0
N_02_post	49	Picture	neu_12a.jpg	2572915	0	1	40165	2	0	40000	other	0
N_02_post	50	Picture	+	2613247	0	1	19999	2	0	19880	other	0
N_02_post	51	Picture	neu_26a.jpg	2634062	0	185	40016	186	0	40000	other	0
N_02_post	52	Picture	+	2674245	0	1	18832	3	0	18790	other	0
N_02_post	53	Picture	neg_5a.jpg	2694077	0	2	40166	3	0	40000	other	0
N_02_post	54	Picture	+	2734409	0	2	15167	3	0	15000	other	0
N_02_post	55	Picture	pos_1a.jpg	2750576	0	1	40165	2	0	40000	other	0
N_02_post	56	Picture	+	2790908	0	1	18832	2	0	18700	other	0
N_02_post	57	Picture	pos_22a.jpg	2810740	0	1	40166	2	0	40000	other	0
N_02_post	58	Picture	+	2851072	0	1	20000	2	0	19960	other	0
N_02_post	59	Picture	pos_14a.jpg	2872072	0	1	40165	2	0	40000	other	0
N_02_post	60	Picture	+	2912403	0	2	16500	3	0	16370	other	0
N_02_post	61	Picture	neg_10a.jpg	2929903	0	1	40165	2	0	40000	other	0
N_02_post	62	Picture	+	2970235	0	1	18499	2	0	18330	other	0
N_02_post	63	Picture	pos_13a.jpg	2989734	0	1	40166	2	0	40000	other	0
N_02_post	64	Picture	+	3030066	0	1	16666	3	0	16560	other	0
N_02_post	65	Picture	neg_17a.jpg	3047732	0	2	40166	3	0	40000	other	0
N_02_post	66	Picture	+	3088064	0	1	17166	3	0	17040	other	0
N_02_post	67	Picture	neu_29a.jpg	3106230	0	2	40166	3	0	40000	other	0
N_02_post	68	Picture	+	3146562	0	2	16000	3	0	15830	other	0
N_02_post	69	Picture	pos_11a.jpg	3163562	0	1	40165	2	0	40000	other	0
N_02_post	70	Picture	+	3203894	0	1	19666	2	0	19520	other	0
N_02_post	71	Picture	neu_30a.jpg	3224560	0	1	40165	2	0	40000	other	0
N_02_post	72	Picture	+	3264892	0	1	17833	2	0	17720	other	0
N_02_post	73	Picture	neg_2a.jpg	3283725	0	1	40165	2	0	40000	other	0
N_02_post	74	Picture	+	3324056	0	2	18000	3	0	17960	other	0
N_02_post	75	Picture	neg_14a.jpg	3343056	0	1	40165	2	0	40000	other	0
N_02_post	76	Picture	+	3383388	0	1	19833	2	0	19690	other	0
N_02_post	77	Picture	pos_27a.jpg	3404220	0	2	40166	3	0	40000	other	0
N_02_post	78	Picture	+	3444552	0	2	15500	3	0	15420	other	0
N_02_post	79	Picture	neu_3a.jpg	3461052	0	1	40165	2	0	40000	other	0
N_02_post	80	Picture	+	3501384	0	1	18666	2	0	18490	other	0
N_02_post	81	Picture	neg_12a.jpg	3521050	0	1	40165	2	0	40000	other	0
N_02_post	82	Picture	+	3561382	0	1	15999	3	0	15900	other	0
N_02_post	83	Picture	neu_16a.jpg	3578381	0	2	40166	3	0	40000	other	0
N_02_post	84	Picture	+	3618713	0	2	20000	3	0	19980	other	0
N_02_post	85	Picture	pos_23a.jpg	3639713	0	1	40165	2	0	40000	other	0
N_02_post	86	Picture	+	3680045	0	1	18999	2	0	18920	other	0
N_02_post	87	Picture	neg_20a.jpg	3700044	0	1	40165	3	0	40000	other	0
N_02_post	88	Picture	+	3740376	0	1	15166	2	0	15120	other	0
N_02_post	89	Picture	pos_30a.jpg	3757025	0	185	40016	186	0	40000	other	0
N_02_post	90	Picture	+	3797207	0	2	15490	180	0	15490	other	0
N_02_post	91	Picture	neu_27a.jpg	3813707	0	1	40165	2	0	40000	other	0
