Scenario - 
Logfile written - 12/08/2015 09:41:11

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

N_02_pre	4	Picture	+	1250957	0	1	18666	2	0	18570	other	0
N_02_pre	6	Picture	+	1311289	0	1	18499	2	0	18360	other	0
N_02_pre	8	Picture	+	1370953	0	1	19833	2	0	19670	other	0
N_02_pre	10	Picture	+	1432118	0	1	16666	2	0	16540	other	0
N_02_pre	12	Picture	+	1490116	0	1	17166	2	0	17060	other	0
N_02_pre	14	Picture	+	1548614	0	1	16999	2	0	16860	other	0
N_02_pre	16	Picture	+	1606945	0	1	15333	2	0	15290	other	0
N_02_pre	18	Picture	+	1663610	0	1	15999	3	0	15970	other	0
N_02_pre	20	Picture	+	1720941	0	2	20166	4	0	20000	other	0
N_02_pre	22	Picture	+	1782439	0	1	18833	2	0	18780	other	0
N_02_pre	24	Picture	+	1842604	0	1	16666	2	0	16590	other	0
N_02_pre	26	Picture	+	1900602	0	1	17999	3	0	17870	other	0
N_02_pre	28	Picture	+	1959933	0	1	16833	2	0	16660	other	0
N_02_pre	30	Picture	+	2018098	0	1	15833	2	0	15690	other	0
N_02_pre	32	Picture	+	2075263	0	1	18166	2	0	18110	other	0
N_02_pre	34	Picture	+	2134761	0	1	17999	2	0	17860	other	0
N_02_pre	36	Picture	+	2193925	0	2	18167	3	0	18010	other	0
N_02_pre	38	Picture	+	2253420	0	13	19003	14	0	18990	other	0
N_02_pre	40	Picture	+	2313421	0	2	17667	3	0	17510	other	0
N_02_pre	42	Picture	+	2372419	0	2	19333	3	0	19310	other	0
N_02_pre	44	Picture	+	2432917	0	2	17500	3	0	17440	other	0
N_02_pre	46	Picture	+	2491749	0	1	16333	2	0	16300	other	0
N_02_pre	48	Picture	+	2549413	0	2	17000	3	0	16910	other	0
N_02_pre	50	Picture	+	2607745	0	1	15166	2	0	15130	other	0
N_02_pre	52	Picture	+	2664243	0	1	16166	2	0	16060	other	0
N_02_pre	54	Picture	+	2721741	0	1	17833	2	0	17810	other	0
N_02_pre	56	Picture	+	2780906	0	1	19166	2	0	19070	other	0
N_02_pre	58	Picture	+	2841404	0	1	16166	2	0	16120	other	0
N_02_pre	60	Picture	+	2898902	0	1	17832	3	0	17760	other	0
N_02_pre	62	Picture	+	2958733	0	1	18333	2	0	18180	other	0
N_02_pre	64	Picture	+	3018398	0	1	18499	2	0	18470	other	0
N_02_pre	66	Picture	+	3078229	0	1	17166	2	0	17050	other	0
N_02_pre	68	Picture	+	3136727	0	1	17999	3	0	17920	other	0
N_02_pre	70	Picture	+	3196058	0	2	16167	3	0	16080	other	0
N_02_pre	72	Picture	+	3253556	0	2	16333	3	0	16250	other	0
N_02_pre	74	Picture	+	3311054	0	2	17000	3	0	16910	other	0
N_02_pre	76	Picture	+	3369053	0	1	15166	2	0	15070	other	0
N_02_pre	78	Picture	+	3425551	0	1	17166	2	0	17070	other	0
N_02_pre	80	Picture	+	3484049	0	1	18332	3	0	18300	other	0
N_02_pre	82	Picture	+	3543713	0	1	17500	2	0	17440	other	0
N_02_pre	84	Picture	+	3602545	0	1	16666	2	0	16490	other	0
N_02_pre	86	Picture	+	3660543	0	1	17832	3	0	17790	other	0
N_02_pre	88	Picture	+	3719218	0	324	17489	325	0	17440	other	0
N_02_pre	90	Picture	+	3778039	0	1	17832	3	0	17780	other	0
N_02_pre	92	Picture	+	3837037	0	1	20166	2	0	19970	other	0
N_02_pre	94	Picture	+	3898535	0	1	19832	2	0	19810	other	0
N_02_pre	96	Picture	+	3959699	0	1	19166	2	0	19020	other	0
N_02_pre	98	Picture	+	4020031	0	1	19332	2	0	19280	other	0
N_02_pre	100	Picture	+	4080695	0	1	20000	2	0	19840	other	0
N_02_pre	102	Picture	+	4142026	0	2	18500	3	0	18390	other	0
N_02_pre	104	Picture	+	4201858	0	1	15166	2	0	15070	other	0
N_02_pre	106	Picture	+	4258356	0	1	19166	2	0	19120	other	0
N_02_pre	108	Picture	+	4318854	0	1	17999	2	0	17850	other	0
N_02_pre	110	Picture	+	4378183	0	9	16835	10	0	16770	other	0
N_02_pre	112	Picture	+	4436350	0	1	18832	3	0	18670	other	0
N_02_pre	114	Picture	+	4496515	0	1	19332	2	0	19310	other	0
N_02_pre	116	Picture	+	4557179	0	1	18000	2	0	17920	other	0
N_02_pre	118	Picture	+	4616511	0	1	18666	2	0	18610	other	0
N_02_pre	120	Picture	+	4676019	0	324	16656	325	0	16540	other	0
