Scenario - 
Logfile written - 02/16/2016 11:40:38

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

N_08	4	Picture	+	1250866	0	1	19516	2	0	19340	other	0
N_08	5	Picture	neg_25a.jpg	1272551	0	1	40033	2	0	40000	other	0
N_08	6	Picture	+	1312751	0	1	16346	3	0	16220	other	0
N_08	7	Picture	neg_27a.jpg	1330766	0	1	40033	2	0	40000	other	0
N_08	8	Picture	+	1370965	0	2	16514	3	0	16350	other	0
N_08	9	Picture	neg_7a.jpg	1388971	0	24	40042	26	0	40000	other	0
N_08	10	Picture	+	1429180	0	1	17515	2	0	17410	other	0
N_08	11	Picture	neu_19a.jpg	1448987	0	211	40076	212	0	40000	other	0
N_08	12	Picture	+	1489230	0	1	18515	2	0	18500	other	0
N_08	13	Picture	neg_17a.jpg	1509232	0	183	40048	184	0	40000	other	0
N_08	14	Picture	+	1549446	0	2	19183	3	0	19120	other	0
N_08	15	Picture	pos_10a.jpg	1570130	0	1	40033	3	0	40000	other	0
N_08	16	Picture	+	1610330	0	1	20017	2	0	19840	other	0
N_08	17	Picture	neg_6a.jpg	1631828	0	188	40053	189	0	40000	other	0
N_08	18	Picture	+	1672048	0	1	19182	3	0	19050	other	0
N_08	19	Picture	neg_24a.jpg	1692723	0	24	40042	25	0	40000	other	0
N_08	20	Picture	+	1732931	0	2	16514	3	0	16500	other	0
N_08	21	Picture	neg_28a.jpg	1750946	0	2	40034	3	0	40000	other	0
N_08	22	Picture	+	1791146	0	2	17848	4	0	17770	other	0
N_08	23	Picture	pos_30a.jpg	1811323	0	22	40040	23	0	40000	other	0
N_08	24	Picture	+	1851530	0	1	17848	2	0	17740	other	0
N_08	25	Picture	pos_13a.jpg	1870872	0	15	40040	16	0	40000	other	0
N_08	26	Picture	+	1911079	0	1	16013	2	0	15870	other	0
N_08	27	Picture	pos_1a.jpg	1928582	0	18	40044	20	0	40000	other	0
N_08	28	Picture	+	1968793	0	1	16180	2	0	16130	other	0
N_08	29	Picture	neu_24a.jpg	1986466	0	13	40042	14	0	40000	other	0
N_08	30	Picture	+	2026674	0	2	18516	3	0	18370	other	0
N_08	31	Picture	neg_3a.jpg	2046685	0	14	40039	15	0	40000	other	0
N_08	32	Picture	+	2086891	0	1	15679	3	0	15620	other	0
