Scenario - 
Logfile written - 03/01/2016 09:46:40

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

N_13	4	Picture	+	1250964	0	1	17333	1	0	17280	other	0
N_13	6	Picture	+	1310463	0	1	17333	1	0	17310	other	0
N_13	8	Picture	+	1369961	0	1	20166	1	0	20000	other	0
N_13	10	Picture	+	1431959	0	1	16166	1	0	16120	other	0
N_13	12	Picture	+	1489791	0	1	15833	1	0	15750	other	0
N_13	14	Picture	+	1547456	0	1	15166	1	0	15000	other	0
N_13	16	Picture	+	1604621	0	1	18333	1	0	18280	other	0
N_13	18	Picture	+	1664953	0	1	15166	1	0	15130	other	0
N_13	20	Picture	+	1722118	0	1	16666	1	0	16620	other	0
N_13	22	Picture	+	1780616	0	1	17666	1	0	17560	other	0
N_13	24	Picture	+	1840281	0	1	15500	1	0	15370	other	0
N_13	26	Picture	+	1897946	0	1	19833	1	0	19720	other	0
N_13	28	Picture	+	1959611	0	1	16000	1	0	15830	other	0
N_13	30	Picture	+	2017443	0	1	17333	1	0	17160	other	0
N_13	32	Picture	+	2076774	0	1	15166	1	0	15130	other	0
N_13	34	Picture	+	2133773	0	1	17000	1	0	16860	other	0
N_13	36	Picture	+	2192771	0	1	19499	1	0	19380	other	0
N_13	38	Picture	+	2254102	0	1	16333	1	0	16290	other	0
N_13	40	Picture	+	2312601	0	1	18166	1	0	18150	other	0
N_13	42	Picture	+	2372932	0	1	18166	1	0	18120	other	0
N_13	44	Picture	+	2433097	0	1	15833	1	0	15690	other	0
N_13	46	Picture	+	2490929	0	1	18500	1	0	18380	other	0
N_13	48	Picture	+	2551427	0	1	19166	1	0	19130	other	0
N_13	50	Picture	+	2612759	0	1	19166	1	0	19140	other	0
N_13	52	Picture	+	2673924	0	1	19999	1	0	19940	other	0
N_13	54	Picture	+	2735922	0	1	15666	1	0	15530	other	0
N_13	56	Picture	+	2793587	0	1	19333	1	0	19250	other	0
N_13	58	Picture	+	2854919	0	1	17166	1	0	17120	other	0
N_13	60	Picture	+	2914084	0	1	19166	1	0	19070	other	0
N_13	62	Picture	+	2975249	0	1	19166	1	0	19050	other	0
N_13	64	Picture	+	3036414	0	1	18666	1	0	18500	other	0
N_13	66	Picture	+	3097079	0	1	15666	1	0	15530	other	0
N_13	68	Picture	+	3154577	0	1	15333	1	0	15160	other	0
N_13	70	Picture	+	3211909	0	1	18833	1	0	18800	other	0
N_13	72	Picture	+	3272740	0	1	15666	1	0	15560	other	0
N_13	74	Picture	+	3330405	0	1	19666	1	0	19630	other	0
N_13	76	Picture	+	3392237	0	1	17500	1	0	17330	other	0
N_13	78	Picture	+	3451735	0	1	18499	1	0	18350	other	0
N_13	80	Picture	+	3512233	0	1	15500	1	0	15330	other	0
N_13	82	Picture	+	3569898	0	1	18166	1	0	18150	other	0
N_13	84	Picture	+	3629897	0	1	15833	1	0	15700	other	0
N_13	86	Picture	+	3687562	0	1	17666	1	0	17490	other	0
