Scenario - 
Logfile written - 12/07/2015 11:47:47

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

T01	2	Picture	+	50331	0	1	19499	2	0	19340	other	0
T01	4	Picture	+	111329	0	1	19666	2	0	19650	other	0
T01	6	Picture	+	172327	0	1	18499	2	0	18460	other	0
T01	8	Picture	+	232158	0	1	18333	2	0	18230	other	0
T01	10	Picture	+	291823	0	1	18332	3	0	18160	other	0
T01	12	Picture	+	351487	0	2	19833	3	0	19800	other	0
T01	14	Picture	+	412652	0	1	16999	3	0	16840	other	0
T01	16	Picture	+	470983	0	1	17666	3	0	17650	other	0
T01	18	Picture	+	529981	0	1	18500	2	0	18440	other	0
T01	20	Picture	+	590313	0	1	16999	2	0	16970	other	0
T01	22	Picture	+	648644	0	1	16666	2	0	16530	other	0
T01	24	Picture	+	706642	0	1	15666	2	0	15580	other	0
T01	26	Picture	+	763473	0	2	16666	4	0	16500	other	0
T01	28	Picture	+	821471	0	2	17000	3	0	16950	other	0
T01	30	Picture	+	879803	0	1	17999	2	0	17980	other	0
T01	32	Picture	+	939134	0	1	16833	2	0	16670	other	0
T01	34	Picture	+	997299	0	1	19999	2	0	19940	other	0
T01	36	Picture	+	1058463	0	1	19000	2	0	18840	other	0
T01	38	Picture	+	1118628	0	1	16166	2	0	16070	other	0
T01	40	Picture	+	1176126	0	1	17666	2	0	17620	other	0
T01	42	Picture	+	1235124	0	1	16333	2	0	16260	other	0
T01	44	Picture	+	1292789	0	1	16166	2	0	16120	other	0
T01	46	Picture	+	1349953	0	2	16833	3	0	16780	other	0
T01	48	Picture	+	1408785	0	1	16499	2	0	16420	other	0
T01	50	Picture	+	1466616	0	1	19833	2	0	19690	other	0
T01	52	Picture	+	1527781	0	1	17666	2	0	17530	other	0
T01	54	Picture	+	1586779	0	1	17332	2	0	17160	other	0
T01	56	Picture	+	1645443	0	1	15666	3	0	15550	other	0
T01	58	Picture	+	1702441	0	1	18000	2	0	17840	other	0
T01	60	Picture	+	1761773	0	1	17166	2	0	17060	other	0
T01	62	Picture	+	1820271	0	1	19499	2	0	19330	other	0
T01	64	Picture	+	1881102	0	1	15166	2	0	15050	other	0
T01	66	Picture	+	1937600	0	1	18833	2	0	18750	other	0
T01	68	Picture	+	1997431	0	1	17500	2	0	17420	other	0
T01	70	Picture	+	2056263	0	1	18666	2	0	18540	other	0
T01	72	Picture	+	2116261	0	1	15999	2	0	15950	other	0
T01	74	Picture	+	2173259	0	1	16666	2	0	16650	other	0
T01	76	Picture	+	2231257	0	1	17166	2	0	17050	other	0
T01	78	Picture	+	2289755	0	1	18499	2	0	18350	other	0
T01	80	Picture	+	2349586	0	1	17833	2	0	17810	other	0
T01	82	Picture	+	2408750	0	2	16667	3	0	16640	other	0
T01	84	Picture	+	2466749	0	1	17666	2	0	17530	other	0
T01	86	Picture	+	2525746	0	2	17500	3	0	17440	other	0
T01	88	Picture	+	2584578	0	1	19166	2	0	19030	other	0
T01	90	Picture	+	2645076	0	1	18999	2	0	18850	other	0
T01	92	Picture	+	2705407	0	1	15666	2	0	15500	other	0
T01	94	Picture	+	2762072	0	1	15333	2	0	15270	other	0
T01	96	Picture	+	2818736	0	2	17490	180	0	17490	other	0
T01	98	Picture	+	2877734	0	2	18833	3	0	18760	other	0
T01	100	Picture	+	2937899	0	1	16333	2	0	16210	other	0
T01	102	Picture	+	2995564	0	1	19166	2	0	19060	other	0
T01	104	Picture	+	3055728	0	1	18500	2	0	18420	other	0
T01	106	Picture	+	3115226	0	1	19833	2	0	19800	other	0
T01	108	Picture	+	3176391	0	1	18833	2	0	18790	other	0
T01	110	Picture	+	3237055	0	2	19666	4	0	19540	other	0
T01	112	Picture	+	3298053	0	2	15666	4	0	15550	other	0
T01	114	Picture	+	3355051	0	2	19833	3	0	19740	other	0
T01	116	Picture	+	3416216	0	1	16333	2	0	16210	other	0
T01	118	Picture	+	3473881	0	1	17666	2	0	17510	other	0
T01	120	Picture	+	3532879	0	1	17832	3	0	17700	other	0
T01	122	Picture	+	3591710	0	1	16999	3	0	16870	other	0
T01	124	Picture	+	3649875	0	1	16166	2	0	16040	other	0
T01	126	Picture	+	3707373	0	1	19666	2	0	19520	other	0
T01	128	Picture	+	3768204	0	1	18499	2	0	18460	other	0
T01	130	Picture	+	3828035	0	1	19166	2	0	19010	other	0
T01	132	Picture	+	3888200	0	1	17833	2	0	17760	other	0
T01	134	Picture	+	3947364	0	2	19833	3	0	19800	other	0
T01	136	Picture	+	4008529	0	1	18333	2	0	18190	other	0
T01	138	Picture	+	4068194	0	1	16999	2	0	16830	other	0
T01	140	Picture	+	4126525	0	1	15666	2	0	15510	other	0
T01	142	Picture	+	4183523	0	1	18499	3	0	18430	other	0
T01	144	Picture	+	4243354	0	2	18666	4	0	18610	other	0
T01	146	Picture	+	4303352	0	1	17833	2	0	17720	other	0
T01	148	Picture	+	4362517	0	1	19999	2	0	19900	other	0
T01	150	Picture	+	4423848	0	1	17500	2	0	17420	other	0
T01	152	Picture	+	4482680	0	1	17666	2	0	17490	other	0
T01	154	Picture	+	4541678	0	1	19166	2	0	19140	other	0
T01	156	Picture	+	4601842	0	1	18666	2	0	18500	other	0
T01	158	Picture	+	4661840	0	1	17166	2	0	17010	other	0
T01	160	Picture	+	4720338	0	1	15500	2	0	15360	other	0
T01	162	Picture	+	4776836	0	1	19333	2	0	19180	other	0
T01	164	Picture	+	4837501	0	1	16332	3	0	16220	other	0
T01	166	Picture	+	4895165	0	2	16833	3	0	16680	other	0
T01	168	Picture	+	4953330	0	1	17166	2	0	17150	other	0
T01	170	Picture	+	5011828	0	1	15333	2	0	15220	other	0
T01	172	Picture	+	5068493	0	1	15999	2	0	15970	other	0
T01	174	Picture	+	5125658	0	1	18666	2	0	18640	other	0
T01	176	Picture	+	5185655	0	2	15500	3	0	15460	other	0
T01	178	Picture	+	5242487	0	1	18833	2	0	18790	other	0
T01	180	Picture	+	5302318	0	1	17833	2	0	17720	other	0
