Scenario - 
Logfile written - 11/30/2015 18:51:00

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

T01B	2	Picture	+	50332	0	1	18333	2	0	18180	other	0
T01B	3	Picture	neu_25.jpg	69831	0	1	40166	2	0	40000	other	0
T01B	4	Picture	+	110164	0	1	18666	2	0	18580	other	0
T01B	5	Picture	neu_24.jpg	129830	0	1	40166	2	0	40000	other	0
T01B	6	Picture	+	170163	0	1	15833	2	0	15710	other	0
T01B	7	Picture	neu_18.jpg	186995	0	2	40166	3	0	40000	other	0
T01B	8	Picture	+	227328	0	1	18833	2	0	18700	other	0
T01B	9	Picture	neg_14.jpg	246961	0	201	40032	203	0	40000	other	0
T01B	10	Picture	+	287160	0	1	16166	3	0	16140	other	0
T01B	11	Picture	neu_1.jpg	304326	0	2	40166	3	0	40000	other	0
T01B	12	Picture	+	344659	0	1	19000	2	0	18850	other	0
T01B	13	Picture	pos_23.jpg	364659	0	1	40165	3	0	40000	other	0
T01B	14	Picture	+	404991	0	1	17666	2	0	17550	other	0
T01B	15	Picture	neu_5.jpg	423657	0	1	40166	2	0	40000	other	0
T01B	16	Picture	+	463990	0	1	17999	3	0	17870	other	0
T01B	17	Picture	neu_12.jpg	482989	0	2	40166	3	0	40000	other	0
T01B	18	Picture	+	523322	0	1	19500	2	0	19440	other	0
T01B	19	Picture	pos_8.jpg	543822	0	1	40165	2	0	40000	other	0
T01B	20	Picture	+	584154	0	1	17333	2	0	17250	other	0
T01B	21	Picture	neg_16.jpg	602487	0	1	40166	2	0	40000	other	0
T01B	22	Picture	+	642820	0	1	15666	2	0	15510	other	0
T01B	23	Picture	pos_17.jpg	659486	0	1	40166	2	0	40000	other	0
T01B	24	Picture	+	699818	0	1	16333	2	0	16290	other	0
T01B	25	Picture	neg_29.jpg	717151	0	1	40166	2	0	40000	other	0
T01B	26	Picture	+	757484	0	1	17999	3	0	17960	other	0
T01B	27	Picture	neg_10.jpg	776483	0	2	40166	3	0	40000	other	0
T01B	28	Picture	+	816816	0	1	16666	2	0	16550	other	0
T01B	29	Picture	neg_24.jpg	834482	0	1	40166	2	0	40000	other	0
T01B	30	Picture	+	874815	0	1	16499	3	0	16440	other	0
T01B	31	Picture	neu_11.jpg	892314	0	2	40166	3	0	40000	other	0
T01B	32	Picture	+	932647	0	1	15333	2	0	15320	other	0
T01B	33	Picture	neg_5.jpg	949480	0	1	40166	2	0	40000	other	0
T01B	34	Picture	+	989812	0	1	18500	2	0	18340	other	0
T01B	35	Picture	pos_14.jpg	1009312	0	1	40166	2	0	40000	other	0
T01B	36	Picture	+	1049644	0	2	17000	3	0	16860	other	0
T01B	37	Picture	neg_11.jpg	1068144	0	1	40166	2	0	40000	other	0
T01B	38	Picture	+	1108477	0	1	18999	2	0	18930	other	0
T01B	39	Picture	neg_20.jpg	1128476	0	1	40166	2	0	40000	other	0
T01B	40	Picture	+	1168809	0	1	15499	2	0	15350	other	0
T01B	41	Picture	pos_24.jpg	1185308	0	1	40166	2	0	40000	other	0
T01B	42	Picture	+	1225641	0	1	17666	2	0	17640	other	0
T01B	43	Picture	neu_17.jpg	1244307	0	1	40166	2	0	40000	other	0
T01B	44	Picture	+	1284640	0	1	18666	2	0	18570	other	0
T01B	45	Picture	neg_27.jpg	1304139	0	1	40166	2	0	40000	other	0
T01B	46	Picture	+	1344472	0	1	19999	2	0	19940	other	0
T01B	47	Picture	neu_27.jpg	1365471	0	1	40166	2	0	40000	other	0
T01B	48	Picture	+	1405804	0	1	15833	2	0	15710	other	0
T01B	49	Picture	neg_8.jpg	1422637	0	1	40166	2	0	40000	other	0
T01B	50	Picture	+	1462969	0	1	19833	2	0	19760	other	0
T01B	51	Picture	neu_23.jpg	1483802	0	1	40166	2	0	40000	other	0
T01B	52	Picture	+	1524135	0	1	17166	2	0	16990	other	0
T01B	53	Picture	pos_27.jpg	1542301	0	1	40166	2	0	40000	other	0
T01B	54	Picture	+	1582633	0	2	18667	3	0	18500	other	0
T01B	55	Picture	neg_23.jpg	1602300	0	1	40165	3	0	40000	other	0
T01B	56	Picture	+	1642632	0	1	18333	2	0	18320	other	0
T01B	57	Picture	pos_29.jpg	1661965	0	1	40166	2	0	40000	other	0
T01B	58	Picture	+	1702297	0	2	18667	3	0	18560	other	0
T01B	59	Picture	pos_6.jpg	1721964	0	1	40166	2	0	40000	other	0
T01B	60	Picture	+	1762296	0	1	20000	2	0	19860	other	0
T01B	61	Picture	pos_9.jpg	1783296	0	1	40166	2	0	40000	other	0
