Scenario - 
Logfile written - 12/07/2015 12:17:52

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

T01_post	2	Picture	+	50331	0	1	19666	2	0	19560	other	0
T01_post	4	Picture	+	111329	0	1	16833	2	0	16680	other	0
T01_post	6	Picture	+	169493	0	2	17000	3	0	16910	other	0
T01_post	8	Picture	+	227825	0	1	18332	2	0	18270	other	0
T01_post	10	Picture	+	287489	0	1	19499	3	0	19410	other	0
T01_post	12	Picture	+	348320	0	1	16500	2	0	16480	other	0
T01_post	14	Picture	+	405818	0	2	17167	3	0	17010	other	0
T01_post	16	Picture	+	464316	0	2	18833	3	0	18700	other	0
T01_post	18	Picture	+	524481	0	1	18333	2	0	18210	other	0
T01_post	20	Picture	+	584813	0	1	16666	2	0	16610	other	0
T01_post	22	Picture	+	642811	0	1	19666	2	0	19590	other	0
T01_post	24	Picture	+	703809	0	1	17166	2	0	17110	other	0
T01_post	26	Picture	+	761973	0	2	19000	3	0	18940	other	0
T01_post	28	Picture	+	822305	0	1	16666	2	0	16620	other	0
T01_post	30	Picture	+	880303	0	1	16333	2	0	16260	other	0
T01_post	32	Picture	+	938468	0	1	16999	2	0	16880	other	0
T01_post	34	Picture	+	996799	0	1	18500	2	0	18340	other	0
T01_post	36	Picture	+	1056631	0	1	17332	2	0	17250	other	0
T01_post	38	Picture	+	1114962	0	1	19999	2	0	19960	other	0
T01_post	40	Picture	+	1176293	0	1	19000	2	0	18930	other	0
T01_post	42	Picture	+	1236291	0	1	17333	2	0	17310	other	0
T01_post	44	Picture	+	1294956	0	1	19833	2	0	19760	other	0
T01_post	46	Picture	+	1355954	0	2	16166	3	0	16130	other	0
T01_post	48	Picture	+	1413452	0	1	15500	2	0	15430	other	0
T01_post	50	Picture	+	1470284	0	1	15166	2	0	15060	other	0
T01_post	52	Picture	+	1526782	0	1	16833	2	0	16820	other	0
T01_post	54	Picture	+	1584947	0	1	18999	2	0	18850	other	0
T01_post	56	Picture	+	1645278	0	1	18833	2	0	18700	other	0
T01_post	58	Picture	+	1705443	0	1	19999	2	0	19890	other	0
T01_post	60	Picture	+	1766774	0	1	17333	2	0	17310	other	0
T01_post	62	Picture	+	1825439	0	1	18332	3	0	18280	other	0
T01_post	64	Picture	+	1885103	0	2	17667	3	0	17550	other	0
T01_post	66	Picture	+	1944101	0	2	16000	3	0	15910	other	0
T01_post	68	Picture	+	2001433	0	1	18333	2	0	18320	other	0
T01_post	70	Picture	+	2061098	0	1	18999	2	0	18840	other	0
T01_post	72	Picture	+	2121429	0	1	16499	3	0	16340	other	0
T01_post	74	Picture	+	2179260	0	2	19000	3	0	18850	other	0
T01_post	76	Picture	+	2239425	0	1	18166	2	0	18150	other	0
T01_post	78	Picture	+	2298590	0	1	18333	2	0	18320	other	0
T01_post	80	Picture	+	2358255	0	1	15832	3	0	15690	other	0
T01_post	82	Picture	+	2415419	0	1	15833	2	0	15660	other	0
T01_post	84	Picture	+	2472584	0	1	16500	2	0	16420	other	0
T01_post	86	Picture	+	2530416	0	1	16832	2	0	16760	other	0
T01_post	88	Picture	+	2588580	0	1	16833	2	0	16790	other	0
T01_post	90	Picture	+	2646745	0	1	18499	3	0	18380	other	0
T01_post	92	Picture	+	2706576	0	2	16666	4	0	16500	other	0
T01_post	94	Picture	+	2764575	0	1	16332	2	0	16180	other	0
T01_post	96	Picture	+	2822239	0	1	16333	2	0	16280	other	0
T01_post	98	Picture	+	2879904	0	1	19666	2	0	19530	other	0
T01_post	100	Picture	+	2940902	0	1	19666	2	0	19510	other	0
T01_post	102	Picture	+	3001900	0	1	18165	4	0	18120	other	0
T01_post	104	Picture	+	3061398	0	1	16999	3	0	16910	other	0
T01_post	106	Picture	+	3119396	0	1	15666	2	0	15590	other	0
T01_post	108	Picture	+	3176394	0	1	19666	2	0	19490	other	0
T01_post	110	Picture	+	3237392	0	1	15500	2	0	15440	other	0
T01_post	112	Picture	+	3294224	0	1	19499	2	0	19360	other	0
T01_post	114	Picture	+	3355055	0	1	16499	3	0	16350	other	0
T01_post	116	Picture	+	3412886	0	1	15333	2	0	15260	other	0
T01_post	118	Picture	+	3469384	0	2	16500	3	0	16480	other	0
T01_post	120	Picture	+	3527216	0	1	19499	2	0	19390	other	0
T01_post	122	Picture	+	3588047	0	1	16666	2	0	16500	other	0
T01_post	124	Picture	+	3645712	0	1	16666	2	0	16620	other	0
T01_post	126	Picture	+	3703710	0	1	18666	2	0	18520	other	0
T01_post	128	Picture	+	3763541	0	2	15833	3	0	15790	other	0
T01_post	130	Picture	+	3820539	0	2	16667	3	0	16600	other	0
T01_post	132	Picture	+	3878538	0	1	16166	2	0	16090	other	0
T01_post	134	Picture	+	3935869	0	1	18333	2	0	18320	other	0
T01_post	136	Picture	+	3995534	0	1	17999	2	0	17950	other	0
T01_post	138	Picture	+	4054865	0	1	18166	2	0	18050	other	0
T01_post	140	Picture	+	4114363	0	1	15666	2	0	15600	other	0
T01_post	142	Picture	+	4171028	0	1	16833	2	0	16740	other	0
T01_post	144	Picture	+	4229193	0	1	17999	2	0	17880	other	0
T01_post	146	Picture	+	4288357	0	1	17166	3	0	17120	other	0
T01_post	148	Picture	+	4346855	0	2	20000	3	0	19880	other	0
T01_post	150	Picture	+	4408187	0	1	16999	2	0	16920	other	0
T01_post	152	Picture	+	4466518	0	1	16000	2	0	15900	other	0
T01_post	154	Picture	+	4523850	0	1	15666	2	0	15540	other	0
T01_post	156	Picture	+	4580848	0	1	15832	3	0	15790	other	0
T01_post	158	Picture	+	4638012	0	2	16167	3	0	16020	other	0
T01_post	160	Picture	+	4695511	0	1	18999	2	0	18930	other	0
T01_post	162	Picture	+	4755842	0	1	18333	2	0	18200	other	0
T01_post	164	Picture	+	4815507	0	1	18332	2	0	18210	other	0
T01_post	166	Picture	+	4875171	0	1	18166	3	0	18060	other	0
T01_post	168	Picture	+	4934669	0	1	19833	2	0	19710	other	0
T01_post	170	Picture	+	4995834	0	1	17499	3	0	17470	other	0
T01_post	172	Picture	+	5054665	0	2	19000	3	0	18860	other	0
T01_post	174	Picture	+	5115497	0	1	16666	2	0	16560	other	0
T01_post	176	Picture	+	5173495	0	1	18666	2	0	18530	other	0
T01_post	178	Picture	+	5233493	0	1	19332	3	0	19260	other	0
T01_post	180	Picture	+	5294157	0	2	20000	3	0	19880	other	0
