Scenario - 
Logfile written - 02/26/2016 10:24:47

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

h13	4	Picture	+	1250970	0	1	19333	1	0	19280	other	0
h13	5	Picture	neu_30a.jpg	1272231	0	240	40072	240	0	40000	other	0
h13	6	Picture	+	1312469	0	1	19666	1	0	19510	other	0
h13	7	Picture	neg_22a.jpg	1333968	0	1	40166	1	0	40000	other	0
h13	8	Picture	+	1374301	0	1	16833	1	0	16690	other	0
h13	9	Picture	neu_14a.jpg	1392781	0	186	40018	187	0	40000	other	0
h13	10	Picture	+	1432966	0	1	15500	1	0	15440	other	0
h13	11	Picture	neg_13a.jpg	1450132	0	1	40166	1	0	40000	other	0
h13	12	Picture	+	1490464	0	1	15833	1	0	15810	other	0
h13	13	Picture	neg_14a.jpg	1508131	0	1	40166	1	0	40000	other	0
h13	14	Picture	+	1548463	0	1	19333	1	0	19240	other	0
h13	15	Picture	neg_28a.jpg	1569463	0	1	40166	1	0	40000	other	0
h13	16	Picture	+	1609795	0	1	17000	1	0	16910	other	0
h13	17	Picture	pos_9a.jpg	1628431	0	198	40030	198	0	40000	other	0
h13	18	Picture	+	1668627	0	1	18666	1	0	18510	other	0
h13	19	Picture	neu_29a.jpg	1688960	0	1	40166	1	0	40000	other	0
h13	20	Picture	+	1729292	0	1	19166	1	0	19130	other	0
h13	21	Picture	pos_16a.jpg	1750125	0	1	40166	1	0	40000	other	0
h13	22	Picture	+	1790457	0	1	19500	1	0	19390	other	0
h13	23	Picture	pos_1a.jpg	1811790	0	1	40166	1	0	40000	other	0
h13	24	Picture	+	1852123	0	1	17833	1	0	17810	other	0
h13	25	Picture	neg_17a.jpg	1871610	0	179	40011	180	0	40000	other	0
h13	26	Picture	+	1911788	0	1	15166	1	0	15080	other	0
h13	27	Picture	neu_2a.jpg	1928596	0	192	40023	192	0	40000	other	0
h13	28	Picture	+	1968786	0	1	18166	1	0	18060	other	0
h13	29	Picture	neg_16a.jpg	1988786	0	1	40166	1	0	40000	other	0
h13	30	Picture	+	2029118	0	1	17833	1	0	17690	other	0
h13	31	Picture	neg_23a.jpg	2048583	0	203	40034	203	0	40000	other	0
h13	32	Picture	+	2088784	0	1	19833	1	0	19720	other	0
h13	33	Picture	neu_4a.jpg	2110283	0	1	40166	1	0	40000	other	0
h13	34	Picture	+	2150615	0	1	15833	1	0	15660	other	0
h13	35	Picture	neg_3a.jpg	2168115	0	1	40166	1	0	40000	other	0
h13	36	Picture	+	2208447	0	1	16333	1	0	16290	other	0
h13	37	Picture	neu_11a.jpg	2226432	0	183	40014	183	0	40000	other	0
h13	38	Picture	+	2266613	0	1	15500	1	0	15340	other	0
h13	39	Picture	neu_24a.jpg	2283779	0	1	40166	1	0	40000	other	0
h13	40	Picture	+	2324111	0	1	19000	1	0	18840	other	0
h13	41	Picture	neg_5a.jpg	2344777	0	1	40166	1	0	40000	other	0
