Scenario - 
Logfile written - 03/14/2016 14:14:12

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

h19	4	Picture	+	1250957	0	1	17166	1	0	17040	other	0
h19	6	Picture	+	1310455	0	1	15666	1	0	15640	other	0
h19	8	Picture	+	1367953	0	1	19499	1	0	19380	other	0
h19	10	Picture	+	1429284	0	1	16333	1	0	16170	other	0
h19	12	Picture	+	1487449	0	1	16333	1	0	16300	other	0
h19	14	Picture	+	1545947	0	1	16999	1	0	16890	other	0
h19	16	Picture	+	1605112	0	1	19666	1	0	19540	other	0
h19	18	Picture	+	1666776	0	1	19833	1	0	19700	other	0
h19	20	Picture	+	1728441	0	1	15499	1	0	15360	other	0
h19	22	Picture	+	1786106	0	1	17833	1	0	17710	other	0
h19	24	Picture	+	1845937	0	1	16499	1	0	16370	other	0
h19	26	Picture	+	1904435	0	1	18666	1	0	18610	other	0
h19	28	Picture	+	1964933	0	1	16166	1	0	16010	other	0
h19	30	Picture	+	2022931	0	1	19333	1	0	19310	other	0
h19	32	Picture	+	2084429	0	1	17499	1	0	17410	other	0
h19	34	Picture	+	2143927	0	1	19999	1	0	19910	other	0
h19	36	Picture	+	2205925	0	1	19999	1	0	19930	other	0
h19	38	Picture	+	2267923	0	1	18833	1	0	18800	other	0
h19	40	Picture	+	2328754	0	1	17833	1	0	17750	other	0
h19	42	Picture	+	2388419	0	1	18166	1	0	18140	other	0
h19	44	Picture	+	2448250	0	1	16166	1	0	16050	other	0
h19	46	Picture	+	2506414	0	1	18166	1	0	18030	other	0
h19	48	Picture	+	2566746	0	1	19333	1	0	19300	other	0
h19	50	Picture	+	2628077	0	1	19166	1	0	19000	other	0
h19	52	Picture	+	2689408	0	1	17833	1	0	17770	other	0
h19	54	Picture	+	2749240	0	1	16833	1	0	16720	other	0
h19	56	Picture	+	2808071	0	1	15666	1	0	15650	other	0
h19	58	Picture	+	2865569	0	1	19166	1	0	19020	other	0
h19	60	Picture	+	2927567	0	1	17166	1	0	17010	other	0
h19	62	Picture	+	2986565	0	1	17499	1	0	17360	other	0
h19	64	Picture	+	3045896	0	1	15833	1	0	15700	other	0
h19	66	Picture	+	3104061	0	1	19166	1	0	19010	other	0
h19	68	Picture	+	3165225	0	1	18999	1	0	18950	other	0
h19	70	Picture	+	3226390	0	1	18666	1	0	18530	other	0
h19	72	Picture	+	3287055	0	1	15999	1	0	15960	other	0
h19	74	Picture	+	3344886	0	1	18499	1	0	18400	other	0
h19	76	Picture	+	3405551	0	1	19166	1	0	19000	other	0
h19	78	Picture	+	3466715	0	1	19499	1	0	19430	other	0
h19	80	Picture	+	3528213	0	1	16333	1	0	16300	other	0
h19	82	Picture	+	3586378	0	1	19833	1	0	19660	other	0
h19	84	Picture	+	3648042	0	1	15499	1	0	15380	other	0
h19	86	Picture	+	3705707	0	1	16833	1	0	16770	other	0
h19	88	Picture	+	3764705	0	1	19166	1	0	19060	other	0
h19	90	Picture	+	3825870	0	1	15166	1	0	15020	other	0
