Scenario - 
Logfile written - 02/26/2016 12:34:03

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

n12	4	Picture	+	1250969	0	1	17333	1	0	17280	other	0
n12	6	Picture	+	1310634	0	1	17666	1	0	17490	other	0
n12	8	Picture	+	1370466	0	1	19166	1	0	18990	other	0
n12	10	Picture	+	1431798	0	1	17333	1	0	17280	other	0
n12	12	Picture	+	1491296	0	1	19500	1	0	19470	other	0
n12	14	Picture	+	1552795	0	1	17166	1	0	16990	other	0
n12	16	Picture	+	1612293	0	1	16666	1	0	16600	other	0
n12	18	Picture	+	1670959	0	1	18999	1	0	18980	other	0
n12	20	Picture	+	1732124	0	1	15500	1	0	15430	other	0
n12	22	Picture	+	1789789	0	1	15833	1	0	15730	other	0
n12	24	Picture	+	1847621	0	1	18166	1	0	18120	other	0
n12	26	Picture	+	1907786	0	1	17000	1	0	16880	other	0
n12	28	Picture	+	1966951	0	1	19333	1	0	19220	other	0
n12	30	Picture	+	2028116	0	1	18000	1	0	17880	other	0
n12	32	Picture	+	2088115	0	1	16000	1	0	15950	other	0
n12	34	Picture	+	2146113	0	1	16000	1	0	15890	other	0
n12	36	Picture	+	2204279	0	1	16333	1	0	16280	other	0
n12	38	Picture	+	2262444	0	1	17500	1	0	17460	other	0
n12	40	Picture	+	2321776	0	1	15833	1	0	15710	other	0
n12	42	Picture	+	2379774	0	1	15333	1	0	15160	other	0
n12	44	Picture	+	2436940	0	1	15166	1	0	15070	other	0
n12	46	Picture	+	2493938	0	1	17666	1	0	17490	other	0
n12	48	Picture	+	2553437	0	1	15333	1	0	15290	other	0
n12	50	Picture	+	2610769	0	1	15500	1	0	15410	other	0
n12	52	Picture	+	2668767	0	1	15833	1	0	15700	other	0
n12	54	Picture	+	2726599	0	1	19833	1	0	19720	other	0
n12	56	Picture	+	2788431	0	1	17000	1	0	16960	other	0
n12	58	Picture	+	2847263	0	1	15500	1	0	15480	other	0
n12	60	Picture	+	2904928	0	1	15500	1	0	15330	other	0
n12	62	Picture	+	2962427	0	1	19000	1	0	18940	other	0
n12	64	Picture	+	3023592	0	1	19333	1	0	19200	other	0
n12	66	Picture	+	3084924	0	1	20000	1	0	19890	other	0
n12	68	Picture	+	3146755	0	1	16333	1	0	16170	other	0
n12	70	Picture	+	3205087	0	1	19500	1	0	19410	other	0
n12	72	Picture	+	3266586	0	1	16333	1	0	16280	other	0
n12	74	Picture	+	3324751	0	1	16000	1	0	15910	other	0
n12	76	Picture	+	3382583	0	1	19499	1	0	19380	other	0
n12	78	Picture	+	3443915	0	1	17000	1	0	16900	other	0
n12	80	Picture	+	3502913	0	1	18166	1	0	18140	other	0
n12	82	Picture	+	3562912	0	1	17500	1	0	17470	other	0
n12	84	Picture	+	3622410	0	1	15500	1	0	15370	other	0
n12	86	Picture	+	3679742	0	1	17833	1	0	17720	other	0
n12	88	Picture	+	3739741	0	1	19666	1	0	19620	other	0
n12	90	Picture	+	3801406	0	1	17833	1	0	17760	other	0
n12	92	Picture	+	3861238	0	1	17666	1	0	17540	other	0
n12	94	Picture	+	3921736	0	1	15833	1	0	15760	other	0
n12	96	Picture	+	3979568	0	1	16166	1	0	16140	other	0
n12	98	Picture	+	4037567	0	1	15500	1	0	15330	other	0
n12	100	Picture	+	4095065	0	1	19333	1	0	19280	other	0
n12	102	Picture	+	4156230	0	1	17166	1	0	17000	other	0
n12	104	Picture	+	4215562	0	1	19833	1	0	19730	other	0
n12	106	Picture	+	4277394	0	1	16666	1	0	16560	other	0
n12	108	Picture	+	4335893	0	1	15166	1	0	15010	other	0
n12	110	Picture	+	4392891	0	1	16166	1	0	16130	other	0
n12	112	Picture	+	4451223	0	1	19999	1	0	19970	other	0
n12	114	Picture	+	4513222	0	1	17666	1	0	17530	other	0
n12	116	Picture	+	4572887	0	1	16833	1	0	16770	other	0
n12	118	Picture	+	4631719	0	1	18333	1	0	18310	other	0
n12	120	Picture	+	4692050	0	1	18666	1	0	18640	other	0
n12	122	Picture	+	4752716	0	1	19166	1	0	19030	other	0
n12	124	Picture	+	4813881	0	1	19833	1	0	19700	other	0
n12	126	Picture	+	4875546	0	1	19000	1	0	18910	other	0
n12	128	Picture	+	4936544	0	1	17166	1	0	17070	other	0
n12	130	Picture	+	4995376	0	1	19833	1	0	19800	other	0
n12	132	Picture	+	5057208	0	1	16000	1	0	15920	other	0
n12	134	Picture	+	5115207	0	1	18000	1	0	17900	other	0
n12	136	Picture	+	5175039	0	1	18666	1	0	18570	other	0
n12	138	Picture	+	5235537	0	1	17499	1	0	17360	other	0
n12	140	Picture	+	5294869	0	1	17500	1	0	17410	other	0
n12	142	Picture	+	5354201	0	1	19666	1	0	19490	other	0
n12	144	Picture	+	5415866	0	1	18000	1	0	17960	other	0
n12	146	Picture	+	5476031	0	1	18000	1	0	17980	other	0
n12	148	Picture	+	5536196	0	1	20000	1	0	19950	other	0
n12	150	Picture	+	5598028	0	1	19833	1	0	19770	other	0
n12	152	Picture	+	5659860	0	1	18333	1	0	18190	other	0
n12	154	Picture	+	5720025	0	1	16666	1	0	16600	other	0
n12	156	Picture	+	5778857	0	1	17500	1	0	17430	other	0
n12	158	Picture	+	5838356	0	1	18666	1	0	18600	other	0
n12	160	Picture	+	5899021	0	1	18000	1	0	17950	other	0
n12	162	Picture	+	5959019	0	1	18499	1	0	18350	other	0
n12	164	Picture	+	6019518	0	1	17500	1	0	17390	other	0
n12	166	Picture	+	6078850	0	1	17500	1	0	17430	other	0
n12	168	Picture	+	6138181	0	1	16500	1	0	16400	other	0
n12	170	Picture	+	6196847	0	1	19833	1	0	19740	other	0
n12	172	Picture	+	6258512	0	1	19333	1	0	19320	other	0
n12	174	Picture	+	6319677	0	1	16500	1	0	16480	other	0
n12	176	Picture	+	6378342	0	1	19500	1	0	19370	other	0
n12	178	Picture	+	6439841	0	1	17166	1	0	17120	other	0
n12	180	Picture	+	6499006	0	1	18666	1	0	18550	other	0
n12	182	Picture	+	6559838	0	1	19833	1	0	19660	other	0
