Scenario - 
Logfile written - 03/08/2016 11:11:22

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

n22	4	Picture	+	1250976	0	1	16333	1	0	16200	other	0
n22	5	Picture	neg_18a.jpg	1269268	0	208	40040	208	0	40000	other	0
n22	6	Picture	+	1309475	0	1	18833	1	0	18720	other	0
n22	7	Picture	neg_5a.jpg	1330141	0	1	40166	1	0	40000	other	0
n22	8	Picture	+	1370474	0	1	18500	1	0	18350	other	0
n22	9	Picture	pos_1a.jpg	1390807	0	1	40166	1	0	40000	other	0
n22	10	Picture	+	1431139	0	1	15833	1	0	15690	other	0
n22	11	Picture	pos_14a.jpg	1448614	0	193	40025	193	0	40000	other	0
n22	12	Picture	+	1488805	0	1	18166	1	0	18130	other	0
n22	13	Picture	neu_13a.jpg	1508620	0	186	40018	186	0	40000	other	0
n22	14	Picture	+	1548804	0	1	18166	1	0	18010	other	0
n22	15	Picture	neu_21a.jpg	1568637	0	1	40166	1	0	40000	other	0
n22	16	Picture	+	1608970	0	1	16166	1	0	16140	other	0
n22	17	Picture	neg_6a.jpg	1626969	0	1	40166	1	0	40000	other	0
n22	18	Picture	+	1667302	0	1	15666	1	0	15630	other	0
n22	19	Picture	pos_11a.jpg	1684595	0	207	40039	207	0	40000	other	0
n22	20	Picture	+	1724801	0	1	20000	1	0	19950	other	0
n22	21	Picture	neu_24a.jpg	1746467	0	1	40166	1	0	40000	other	0
n22	22	Picture	+	1786800	0	1	19333	1	0	19290	other	0
n22	23	Picture	pos_12a.jpg	1807966	0	1	40166	1	0	40000	other	0
n22	24	Picture	+	1848298	0	1	19333	1	0	19180	other	0
n22	25	Picture	pos_30a.jpg	1869965	0	1	40166	1	0	40000	other	0
n22	26	Picture	+	1910297	0	1	15500	1	0	15400	other	0
n22	27	Picture	neg_2a.jpg	1927464	0	1	40166	1	0	40000	other	0
n22	28	Picture	+	1967796	0	1	17666	1	0	17630	other	0
