Scenario - 
Logfile written - 12/15/2015 09:45:54

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sataňek	4	Picture	+	1250961	0	1	17000	2	0	16920	other	0
sataňek	6	Picture	+	1309460	0	1	19999	2	0	19830	other	0
sataňek	8	Picture	+	1370458	0	1	19332	3	0	19170	other	0
sataňek	10	Picture	+	1430789	0	1	17000	2	0	16850	other	0
sataňek	12	Picture	+	1489121	0	1	19166	2	0	19150	other	0
sataňek	14	Picture	+	1549619	0	1	18833	2	0	18680	other	0
sataňek	16	Picture	+	1609784	0	1	18499	2	0	18360	other	0
sataňek	18	Picture	+	1669615	0	1	18000	2	0	17880	other	0
sataňek	20	Picture	+	1728780	0	1	15166	2	0	15050	other	0
sataňek	22	Picture	+	1785278	0	2	15667	3	0	15590	other	0
sataňek	24	Picture	+	1842110	0	1	18999	3	0	18840	other	0
sataňek	26	Picture	+	1902442	0	1	19999	2	0	19870	other	0
sataňek	28	Picture	+	1963773	0	1	19666	2	0	19640	other	0
sataňek	30	Picture	+	2024282	0	324	16155	325	0	16050	other	0
sataňek	32	Picture	+	2081769	0	1	19166	3	0	19150	other	0
sataňek	34	Picture	+	2142768	0	1	15166	2	0	15140	other	0
sataňek	36	Picture	+	2199266	0	1	19499	2	0	19330	other	0
sataňek	38	Picture	+	2260597	0	1	15500	2	0	15440	other	0
sataňek	40	Picture	+	2317429	0	1	16666	2	0	16600	other	0
sataňek	42	Picture	+	2375427	0	1	17333	2	0	17300	other	0
sataňek	44	Picture	+	2434092	0	1	15499	3	0	15460	other	0
sataňek	46	Picture	+	2490924	0	1	15332	3	0	15250	other	0
sataňek	48	Picture	+	2547588	0	2	15167	3	0	15050	other	0
sataňek	50	Picture	+	2604087	0	1	18166	2	0	18000	other	0
sataňek	52	Picture	+	2663585	0	1	17999	3	0	17980	other	0
sataňek	54	Picture	+	2722916	0	2	16000	3	0	15980	other	0
sataňek	56	Picture	+	2780248	0	1	17999	3	0	17920	other	0
sataňek	58	Picture	+	2839580	0	1	18332	2	0	18320	other	0
sataňek	60	Picture	+	2899244	0	2	17167	3	0	17020	other	0
sataňek	62	Picture	+	2957743	0	1	15499	2	0	15480	other	0
sataňek	64	Picture	+	3014574	0	1	16333	2	0	16290	other	0
sataňek	66	Picture	+	3072239	0	1	18333	2	0	18260	other	0
sataňek	68	Picture	+	3131904	0	1	19333	2	0	19210	other	0
sataňek	70	Picture	+	3192569	0	1	15833	2	0	15690	other	0
sataňek	72	Picture	+	3249734	0	1	17333	2	0	17170	other	0
sataňek	74	Picture	+	3308232	0	1	17666	2	0	17530	other	0
sataňek	76	Picture	+	3367230	0	1	18000	2	0	17840	other	0
sataňek	78	Picture	+	3426395	0	1	19333	2	0	19290	other	0
sataňek	80	Picture	+	3487060	0	1	17499	2	0	17440	other	0
